@relation '212785L1-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz:dobry, splacona:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja:zly-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nodmowa:zly-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja_sp:zly-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L2,4,5-M-H-weka.filters.unsupervised.attribute.Remove-Rlast-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-31.4]\'','\'(31.4-43.8]\'','\'(43.8-56.2]\'','\'(56.2-68.6]\'','\'(68.6-inf)\''}
@attribute plec {M,K}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
300,'\'(31.4-43.8]\'',K,16,1300,0,28,48,zly
300,'\'(43.8-56.2]\'',K,11,2800,3,13,48,dobry
200,'\'(56.2-68.6]\'',K,11,1187.06,1,137,48,dobry
500,'\'(-inf-31.4]\'',M,11,1800,0,12,48,dobry
391.97,'\'(56.2-68.6]\'',K,13,1507,2,63,48,dobry
800,'\'(43.8-56.2]\'',K,13,3440,8,55,48,dobry
342.86,'\'(56.2-68.6]\'',K,13,1087,2,75,48,dobry
0,'\'(-inf-31.4]\'',M,11,1500,0,23,48,zly
200,'\'(56.2-68.6]\'',M,13,1162,8,224,48,dobry
380.9,'\'(43.8-56.2]\'',K,16,2300,9,66,48,dobry
200,'\'(43.8-56.2]\'',K,12,990.34,1,71,48,zly
200,'\'(43.8-56.2]\'',M,11,1460.17,0,64,48,dobry
400,'\'(43.8-56.2]\'',K,12,1000,8,37,1,dobry
400,'\'(56.2-68.6]\'',M,12,1000,8,26,10,dobry
800,'\'(68.6-inf)\'',K,13,2120,3,122,48,dobry
900,'\'(56.2-68.6]\'',M,13,3040,0,205,48,dobry
200,'\'(43.8-56.2]\'',K,12,1200,0,3,1,dobry
0,'\'(43.8-56.2]\'',M,13,941,0,72,48,zly
400,'\'(56.2-68.6]\'',K,13,1137.19,0,100,48,dobry
1000,'\'(68.6-inf)\'',K,13,2090,0,249,48,dobry
200,'\'(-inf-31.4]\'',K,11,1000,0,3,48,zly
300,'\'(68.6-inf)\'',K,13,1027,4,196,48,dobry
400,'\'(56.2-68.6]\'',K,13,1107,2,18,48,dobry
400,'\'(-inf-31.4]\'',M,98,1200,0,20,48,dobry
200,'\'(56.2-68.6]\'',K,13,1635,8,123,48,dobry
438.67,'\'(43.8-56.2]\'',K,11,1577.42,1,209,48,dobry
624.58,'\'(31.4-43.8]\'',K,98,5000,3,88,48,dobry
500,'\'(56.2-68.6]\'',K,13,1900,2,92,48,dobry
500,'\'(43.8-56.2]\'',K,11,1738.57,1,61,48,dobry
400,'\'(56.2-68.6]\'',K,16,2084.79,2,145,48,dobry
0,'\'(31.4-43.8]\'',M,98,1600,0,5,48,zly
300,'\'(31.4-43.8]\'',M,99,750,0,7,6,dobry
400,'\'(68.6-inf)\'',K,13,1017,1,165,48,dobry
500,'\'(43.8-56.2]\'',K,11,1700,0,93,48,dobry
500,'\'(43.8-56.2]\'',M,12,1952.35,1,11,3,dobry
200,'\'(56.2-68.6]\'',K,99,670,0,175,48,dobry
0,'\'(-inf-31.4]\'',M,12,2800,0,41,19,zly
0,'\'(-inf-31.4]\'',K,99,4800,0,12,2,zly
300,'\'(56.2-68.6]\'',K,16,957,0,204,48,dobry
278.98,'\'(31.4-43.8]\'',K,98,1200,8,49,48,dobry
200,'\'(56.2-68.6]\'',K,13,714,9,226,48,dobry
883.93,'\'(56.2-68.6]\'',M,13,2474,3,19,48,dobry
0,'\'(31.4-43.8]\'',M,99,1190,0,4,1,zly
300,'\'(68.6-inf)\'',K,13,1000,5,68,48,dobry
400,'\'(68.6-inf)\'',K,13,1016,1,193,48,dobry
561.8,'\'(56.2-68.6]\'',K,16,892,2,204,48,dobry
1500,'\'(56.2-68.6]\'',M,98,3000,1,72,48,dobry
600,'\'(31.4-43.8]\'',M,98,3014,0,106,48,dobry
900,'\'(56.2-68.6]\'',K,17,684,8,209,48,dobry
200,'\'(56.2-68.6]\'',K,13,997,8,83,48,dobry
530,'\'(56.2-68.6]\'',K,13,1691.3,4,77,48,dobry
1000,'\'(56.2-68.6]\'',K,13,930,2,134,48,dobry
0,'\'(68.6-inf)\'',K,13,620,0,157,48,zly
500,'\'(43.8-56.2]\'',M,13,2000,0,21,48,zly
500,'\'(31.4-43.8]\'',K,11,1870,1,114,48,zly
1300,'\'(43.8-56.2]\'',K,16,2300,0,66,48,dobry
600,'\'(68.6-inf)\'',K,13,640,2,142,48,dobry
350,'\'(68.6-inf)\'',K,13,729.03,9,261,48,dobry
0,'\'(68.6-inf)\'',K,13,1372,0,145,48,zly
400,'\'(31.4-43.8]\'',K,11,2200,0,14,48,dobry
300,'\'(68.6-inf)\'',K,13,1412,2,208,48,dobry
400,'\'(68.6-inf)\'',K,13,1140,0,241,48,dobry
200,'\'(31.4-43.8]\'',K,12,1865,5,34,10,dobry
400,'\'(-inf-31.4]\'',K,11,2300,0,26,48,dobry
600,'\'(31.4-43.8]\'',K,11,2400,7,117,48,dobry
759.23,'\'(68.6-inf)\'',K,13,2534,2,130,48,dobry
700,'\'(56.2-68.6]\'',K,13,2066,8,133,48,dobry
300,'\'(68.6-inf)\'',M,13,1420,2,56,48,dobry
0,'\'(43.8-56.2]\'',K,11,1300,0,61,48,zly
300,'\'(68.6-inf)\'',M,13,562,4,85,48,dobry
315.12,'\'(68.6-inf)\'',M,13,960,8,143,48,dobry
500,'\'(43.8-56.2]\'',M,11,1320,8,346,48,dobry
600,'\'(68.6-inf)\'',M,13,2609,0,195,48,dobry
379.9,'\'(56.2-68.6]\'',K,13,930,5,97,48,dobry
750,'\'(43.8-56.2]\'',M,16,588,0,426,48,dobry
265.58,'\'(56.2-68.6]\'',K,13,1189,8,73,48,dobry
200,'\'(31.4-43.8]\'',M,11,1800,8,169,48,dobry
300,'\'(31.4-43.8]\'',M,98,1200,0,4,48,zly
500,'\'(31.4-43.8]\'',K,11,2824,0,105,48,dobry
996,'\'(43.8-56.2]\'',M,11,2500,4,207,48,dobry
597.15,'\'(43.8-56.2]\'',M,12,600,9,27,13,dobry
500,'\'(-inf-31.4]\'',M,12,2100,0,17,15,dobry
0,'\'(31.4-43.8]\'',M,12,1651.78,0,23,15,zly
300,'\'(31.4-43.8]\'',K,12,1300,0,7,4,dobry
300,'\'(43.8-56.2]\'',K,16,1500,3,5,48,dobry
300,'\'(-inf-31.4]\'',M,12,1100,0,48,40,dobry
400,'\'(56.2-68.6]\'',K,11,1500,7,89,48,dobry
200,'\'(43.8-56.2]\'',K,16,1045.6,9,16,48,dobry
200,'\'(43.8-56.2]\'',M,11,1460.17,5,65,48,dobry
200,'\'(31.4-43.8]\'',K,12,980,8,15,0,dobry
200,'\'(43.8-56.2]\'',M,11,2284.23,3,303,48,dobry
254.63,'\'(56.2-68.6]\'',K,16,634.64,7,140,48,dobry
200,'\'(68.6-inf)\'',K,16,959.6,8,119,48,dobry
200,'\'(31.4-43.8]\'',M,11,2000,2,9,48,dobry
299.12,'\'(56.2-68.6]\'',K,16,1389,3,95,48,dobry
0,'\'(31.4-43.8]\'',M,99,1700,0,1,1,zly
200,'\'(68.6-inf)\'',K,13,730,7,564,48,dobry
400,'\'(56.2-68.6]\'',K,16,1411,5,70,48,dobry
630,'\'(56.2-68.6]\'',K,13,3251,2,142,48,dobry
600,'\'(43.8-56.2]\'',K,11,1500,0,114,48,dobry
1000,'\'(68.6-inf)\'',M,13,2612,0,85,48,dobry
0,'\'(31.4-43.8]\'',M,99,1126,0,16,10,zly
974.28,'\'(68.6-inf)\'',K,13,2100,7,59,48,dobry
400,'\'(43.8-56.2]\'',K,11,1400,0,29,48,dobry
300,'\'(31.4-43.8]\'',K,12,1200,8,14,1,dobry
300,'\'(31.4-43.8]\'',K,11,1286.16,1,121,48,dobry
300,'\'(31.4-43.8]\'',K,12,1027,8,59,48,dobry
0,'\'(56.2-68.6]\'',K,13,1547,0,72,48,zly
500,'\'(43.8-56.2]\'',M,99,1400,0,20,0,dobry
500,'\'(56.2-68.6]\'',K,12,1400,0,15,6,dobry
0,'\'(31.4-43.8]\'',K,12,1550,0,24,18,zly
374.91,'\'(43.8-56.2]\'',K,12,1000,2,69,48,dobry
0,'\'(31.4-43.8]\'',M,99,1785,0,2,0,zly
350,'\'(56.2-68.6]\'',K,13,1130,0,107,48,dobry
267.98,'\'(43.8-56.2]\'',K,11,1050,7,37,48,dobry
200,'\'(-inf-31.4]\'',K,12,700,1,5,1,dobry
0,'\'(43.8-56.2]\'',M,11,1097,0,60,48,zly
300,'\'(56.2-68.6]\'',M,12,1231,0,7,4,dobry
0,'\'(-inf-31.4]\'',M,99,728,0,3,2,zly
600,'\'(56.2-68.6]\'',K,13,3700,0,31,48,dobry
500,'\'(43.8-56.2]\'',K,11,1700,0,209,48,dobry
200,'\'(56.2-68.6]\'',K,13,917,0,81,48,dobry
247.28,'\'(56.2-68.6]\'',K,13,611,7,143,48,dobry
300,'\'(43.8-56.2]\'',K,11,900,8,97,48,dobry
300,'\'(68.6-inf)\'',K,13,729.03,2,261,48,dobry
300,'\'(43.8-56.2]\'',M,11,1300,0,456,48,dobry
200,'\'(43.8-56.2]\'',M,11,1600,2,346,48,zly
400,'\'(31.4-43.8]\'',M,11,2636,0,46,48,dobry
392.6,'\'(43.8-56.2]\'',K,11,2368.57,1,414,48,dobry
0,'\'(68.6-inf)\'',M,13,2112,0,109,48,zly
300,'\'(43.8-56.2]\'',M,13,3900,9,34,48,dobry
500,'\'(-inf-31.4]\'',M,12,1700,0,119,48,dobry
293.42,'\'(31.4-43.8]\'',K,12,1896,2,18,1,zly
325.58,'\'(43.8-56.2]\'',K,11,2065.98,1,183,48,dobry
202.28,'\'(56.2-68.6]\'',M,11,3000,9,216,48,dobry
205.44,'\'(56.2-68.6]\'',K,13,1350,7,115,48,dobry
350,'\'(43.8-56.2]\'',K,12,1700,9,69,48,dobry
400,'\'(31.4-43.8]\'',K,11,1228,0,37,48,zly
550,'\'(43.8-56.2]\'',K,12,1675,8,13,0,dobry
500,'\'(-inf-31.4]\'',M,11,2000,0,40,48,dobry
0,'\'(43.8-56.2]\'',K,12,1200,0,83,48,zly
300,'\'(56.2-68.6]\'',K,13,810,9,37,48,dobry
200,'\'(43.8-56.2]\'',K,13,1213,0,53,48,dobry
600,'\'(43.8-56.2]\'',M,12,3500,3,215,48,dobry
500,'\'(43.8-56.2]\'',M,13,864.34,3,160,48,dobry
400,'\'(56.2-68.6]\'',K,13,917,2,80,48,zly
0,'\'(68.6-inf)\'',K,13,722,0,214,48,zly
600,'\'(31.4-43.8]\'',M,99,2880,0,12,10,zly
237.94,'\'(56.2-68.6]\'',K,13,840,6,117,48,dobry
227.88,'\'(56.2-68.6]\'',M,12,1100,8,35,9,dobry
600,'\'(43.8-56.2]\'',K,11,2800,0,63,48,dobry
500,'\'(43.8-56.2]\'',M,11,2000,0,8,48,zly
1000,'\'(43.8-56.2]\'',K,11,5800,8,58,48,dobry
500,'\'(56.2-68.6]\'',K,13,1000,8,72,48,dobry
500,'\'(68.6-inf)\'',K,13,1248,2,254,48,dobry
200,'\'(56.2-68.6]\'',M,13,12220,0,75,48,dobry
537.15,'\'(56.2-68.6]\'',K,13,962,4,69,48,dobry
300,'\'(31.4-43.8]\'',K,11,1380,0,30,48,dobry
300,'\'(56.2-68.6]\'',K,13,1087.72,0,5,48,dobry
441.54,'\'(31.4-43.8]\'',K,98,4000,8,22,48,dobry
200,'\'(56.2-68.6]\'',M,13,1287.66,7,100,48,dobry
200,'\'(56.2-68.6]\'',K,15,678,0,144,48,dobry
0,'\'(-inf-31.4]\'',M,12,1148,0,23,13,zly
200,'\'(43.8-56.2]\'',K,12,976,0,2,1,dobry
300,'\'(56.2-68.6]\'',K,11,1800,1,115,48,dobry
500,'\'(56.2-68.6]\'',M,11,2600,0,139,48,dobry
300,'\'(56.2-68.6]\'',M,11,2000,3,73,48,dobry
200,'\'(-inf-31.4]\'',M,12,1400,3,5,0,dobry
300,'\'(68.6-inf)\'',K,13,821.35,0,250,48,dobry
700,'\'(56.2-68.6]\'',K,13,1431,1,251,48,dobry
400,'\'(43.8-56.2]\'',M,11,4000,9,14,48,dobry
200,'\'(56.2-68.6]\'',K,13,975,8,31,48,dobry
200,'\'(31.4-43.8]\'',M,98,2000,0,18,48,dobry
600,'\'(43.8-56.2]\'',K,11,1443,3,37,48,dobry
400,'\'(56.2-68.6]\'',M,11,1842.86,7,11,48,dobry
0,'\'(43.8-56.2]\'',M,11,2505.34,0,12,48,zly
300,'\'(56.2-68.6]\'',K,13,1098,0,60,48,dobry
600,'\'(56.2-68.6]\'',K,13,714,2,226,48,dobry
600,'\'(31.4-43.8]\'',K,11,1800,1,55,48,dobry
430,'\'(31.4-43.8]\'',M,11,2470,5,70,48,dobry
450,'\'(68.6-inf)\'',K,13,1019,1,136,48,dobry
