@relation '212785L1-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz:dobry, splacona:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja:zly-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nodmowa:zly-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja_sp:zly-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L2,4,5-M-H-weka.filters.unsupervised.attribute.Remove-Rlast-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-31.4]\'','\'(31.4-43.8]\'','\'(43.8-56.2]\'','\'(56.2-68.6]\'','\'(68.6-inf)\''}
@attribute plec {M,K}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
400,'\'(56.2-68.6]\'',K,13,1650,1,86,48,dobry
400,'\'(56.2-68.6]\'',K,13,1425,1,83,48,dobry
600,'\'(31.4-43.8]\'',K,11,1331.21,8,23,48,dobry
300,'\'(43.8-56.2]\'',M,11,981,1,24,48,zly
0,'\'(-inf-31.4]\'',K,99,1300,0,118,48,zly
0,'\'(43.8-56.2]\'',K,12,1107,0,14,7,zly
300,'\'(43.8-56.2]\'',K,17,864.6,0,7,1,dobry
200,'\'(-inf-31.4]\'',K,12,1100,5,29,10,dobry
400.91,'\'(31.4-43.8]\'',K,11,1239.05,1,208,48,dobry
300,'\'(56.2-68.6]\'',K,13,783,0,157,48,dobry
400,'\'(68.6-inf)\'',K,13,1900,5,125,48,dobry
450,'\'(43.8-56.2]\'',M,11,2300,1,124,48,dobry
389.72,'\'(43.8-56.2]\'',K,98,3000,5,89,48,dobry
200,'\'(43.8-56.2]\'',K,99,1100,6,57,48,dobry
200,'\'(56.2-68.6]\'',K,13,984,4,15,48,dobry
290.83,'\'(56.2-68.6]\'',K,13,1090.14,8,79,48,dobry
500,'\'(56.2-68.6]\'',M,13,1900,9,154,48,dobry
476.83,'\'(56.2-68.6]\'',M,11,1250,0,69,48,dobry
326.67,'\'(56.2-68.6]\'',K,13,1668,9,95,48,dobry
300,'\'(-inf-31.4]\'',M,11,1900,0,62,48,dobry
299.42,'\'(68.6-inf)\'',K,13,1239,1,274,48,dobry
500,'\'(68.6-inf)\'',M,13,1150,1,142,48,dobry
200,'\'(68.6-inf)\'',K,13,865,9,132,48,dobry
300,'\'(56.2-68.6]\'',K,13,1400,2,122,48,zly
200,'\'(56.2-68.6]\'',K,13,796.09,0,60,48,dobry
300,'\'(43.8-56.2]\'',K,16,1740,2,118,48,dobry
397.11,'\'(43.8-56.2]\'',M,13,4200,1,61,48,dobry
300,'\'(56.2-68.6]\'',M,11,1660,0,54,48,dobry
300,'\'(31.4-43.8]\'',K,12,1323.55,0,75,48,dobry
384.3,'\'(31.4-43.8]\'',M,11,1058,4,18,48,dobry
200,'\'(-inf-31.4]\'',M,12,1100,0,59,48,dobry
300,'\'(43.8-56.2]\'',K,11,1686,0,102,48,dobry
299.01,'\'(43.8-56.2]\'',K,11,1400,5,165,48,dobry
200,'\'(-inf-31.4]\'',M,17,728,9,130,48,zly
200,'\'(-inf-31.4]\'',M,17,985,0,20,2,dobry
500,'\'(31.4-43.8]\'',M,12,2000,1,71,48,dobry
0,'\'(-inf-31.4]\'',M,12,1075,0,23,18,zly
200,'\'(56.2-68.6]\'',M,12,1600,0,60,48,dobry
200,'\'(56.2-68.6]\'',M,13,1611,1,145,48,dobry
300,'\'(68.6-inf)\'',K,13,1167.94,4,373,48,dobry
500,'\'(43.8-56.2]\'',K,11,1700,8,310,48,dobry
300,'\'(68.6-inf)\'',K,13,1389,1,72,48,dobry
784.54,'\'(43.8-56.2]\'',K,12,1350,2,27,0,zly
300,'\'(31.4-43.8]\'',K,12,2139,0,132,48,dobry
300,'\'(56.2-68.6]\'',K,11,1680,8,389,48,dobry
500,'\'(43.8-56.2]\'',K,11,1800,9,57,48,dobry
200,'\'(31.4-43.8]\'',K,12,599.03,0,24,1,dobry
200,'\'(-inf-31.4]\'',K,12,1394,0,23,21,dobry
400,'\'(56.2-68.6]\'',K,13,850,8,71,48,dobry
200,'\'(43.8-56.2]\'',M,11,2094.17,5,245,48,dobry
1000,'\'(68.6-inf)\'',K,13,2291,5,75,48,dobry
300,'\'(68.6-inf)\'',M,13,1642.87,3,73,48,dobry
500,'\'(68.6-inf)\'',K,13,1200,8,123,48,dobry
200,'\'(68.6-inf)\'',K,13,1200,2,123,48,dobry
300,'\'(43.8-56.2]\'',K,11,3000,3,97,48,dobry
300,'\'(-inf-31.4]\'',K,12,1500,8,18,9,dobry
203.42,'\'(-inf-31.4]\'',M,11,1888.27,3,81,48,dobry
200,'\'(56.2-68.6]\'',K,98,980,8,14,48,dobry
300,'\'(31.4-43.8]\'',M,12,1400,0,2,2,dobry
300,'\'(43.8-56.2]\'',K,11,1756,1,3,48,dobry
0,'\'(56.2-68.6]\'',K,11,2698,0,31,48,zly
200,'\'(56.2-68.6]\'',K,13,974,1,205,48,dobry
300,'\'(68.6-inf)\'',M,13,1426,9,81,48,dobry
300,'\'(56.2-68.6]\'',K,13,1100,6,109,48,dobry
200,'\'(68.6-inf)\'',K,13,965,8,249,48,dobry
0,'\'(43.8-56.2]\'',K,11,1136,0,8,48,zly
200,'\'(56.2-68.6]\'',K,13,3700,9,31,48,dobry
453.84,'\'(43.8-56.2]\'',K,11,2245.01,3,149,48,dobry
350,'\'(68.6-inf)\'',K,11,1348.95,1,118,48,dobry
0,'\'(-inf-31.4]\'',K,17,803.54,0,12,6,zly
600,'\'(56.2-68.6]\'',K,13,1233,2,128,48,dobry
200,'\'(68.6-inf)\'',K,13,1647,0,262,48,dobry
200,'\'(43.8-56.2]\'',K,16,749.28,9,70,48,dobry
650,'\'(-inf-31.4]\'',M,11,2000,0,41,48,zly
237.11,'\'(43.8-56.2]\'',K,12,2200,2,11,3,dobry
400,'\'(56.2-68.6]\'',M,16,1473.04,6,170,48,dobry
0,'\'(31.4-43.8]\'',M,11,2810,0,72,48,zly
376.24,'\'(56.2-68.6]\'',K,13,1400,2,51,48,zly
637.66,'\'(56.2-68.6]\'',K,13,860,3,84,48,dobry
200,'\'(31.4-43.8]\'',K,11,1350,0,31,48,dobry
300,'\'(43.8-56.2]\'',K,98,911,9,103,48,dobry
500,'\'(68.6-inf)\'',K,13,1060,0,252,48,dobry
200,'\'(56.2-68.6]\'',K,16,634,8,56,48,dobry
300,'\'(56.2-68.6]\'',K,13,802.83,3,206,48,dobry
200,'\'(43.8-56.2]\'',K,11,2800,4,14,48,dobry
277.26,'\'(56.2-68.6]\'',K,13,1582.15,1,110,48,dobry
500,'\'(-inf-31.4]\'',K,12,1447,9,35,9,dobry
2000,'\'(68.6-inf)\'',M,13,2612,1,86,48,dobry
500,'\'(56.2-68.6]\'',K,13,1170,0,83,48,dobry
600,'\'(56.2-68.6]\'',M,16,837,1,236,48,dobry
700,'\'(56.2-68.6]\'',K,13,1872,9,39,48,dobry
688.47,'\'(43.8-56.2]\'',K,11,2800,1,323,48,dobry
400,'\'(43.8-56.2]\'',K,12,1000,9,37,0,dobry
400,'\'(56.2-68.6]\'',M,12,1000,9,26,9,dobry
500,'\'(43.8-56.2]\'',M,12,3000,0,131,48,zly
830,'\'(56.2-68.6]\'',K,13,1400,4,251,48,dobry
0,'\'(31.4-43.8]\'',M,12,1050,0,104,48,zly
500,'\'(43.8-56.2]\'',K,17,990,5,85,48,dobry
500,'\'(43.8-56.2]\'',M,11,2080,3,323,48,dobry
400,'\'(43.8-56.2]\'',K,11,1840,0,360,48,dobry
400,'\'(-inf-31.4]\'',K,17,1200,1,179,48,dobry
0,'\'(68.6-inf)\'',M,13,1072,0,134,48,zly
222.73,'\'(43.8-56.2]\'',M,16,1045,8,204,48,dobry
0,'\'(43.8-56.2]\'',K,11,1100,0,26,48,zly
292.26,'\'(56.2-68.6]\'',K,13,1014,3,187,48,dobry
200,'\'(56.2-68.6]\'',M,13,1162,9,226,48,dobry
200,'\'(56.2-68.6]\'',K,99,780,5,12,6,dobry
800,'\'(68.6-inf)\'',K,13,2120,4,123,48,zly
670.68,'\'(56.2-68.6]\'',K,13,1801.41,0,42,48,dobry
200,'\'(56.2-68.6]\'',K,13,1635,9,124,48,dobry
500,'\'(31.4-43.8]\'',M,11,3898,4,185,48,dobry
564.48,'\'(56.2-68.6]\'',M,13,1500,0,28,48,zly
800,'\'(43.8-56.2]\'',K,13,3440,9,56,48,dobry
2000,'\'(56.2-68.6]\'',M,98,20000,0,135,48,dobry
700,'\'(31.4-43.8]\'',K,11,1540,0,43,48,dobry
700,'\'(31.4-43.8]\'',K,11,3178.76,4,126,48,dobry
700,'\'(31.4-43.8]\'',K,11,3100,4,126,48,dobry
800,'\'(43.8-56.2]\'',K,11,1764,3,69,48,dobry
0,'\'(-inf-31.4]\'',M,11,2800,0,23,48,zly
0,'\'(56.2-68.6]\'',M,12,1873,0,14,12,zly
249.3,'\'(56.2-68.6]\'',K,16,2100,4,43,48,dobry
257.27,'\'(43.8-56.2]\'',M,11,2100,6,42,48,dobry
900,'\'(56.2-68.6]\'',M,13,3040,1,206,48,dobry
700,'\'(56.2-68.6]\'',M,13,1553,0,114,48,dobry
0,'\'(68.6-inf)\'',K,13,1997,0,128,48,zly
0,'\'(68.6-inf)\'',M,13,734.09,0,146,48,zly
349.66,'\'(56.2-68.6]\'',M,13,1601.87,5,50,48,dobry
400,'\'(68.6-inf)\'',K,13,1536,0,40,48,dobry
0,'\'(-inf-31.4]\'',K,11,1970,0,58,48,zly
0,'\'(56.2-68.6]\'',M,13,1327.87,0,26,48,zly
600,'\'(43.8-56.2]\'',M,16,2150,1,86,48,zly
600,'\'(-inf-31.4]\'',K,11,2100,0,27,48,dobry
1000,'\'(68.6-inf)\'',K,13,2090,1,250,48,dobry
0,'\'(43.8-56.2]\'',K,11,1170,0,150,48,zly
300,'\'(31.4-43.8]\'',M,99,1500,0,10,7,dobry
1000,'\'(56.2-68.6]\'',K,13,1530,2,29,48,dobry
500,'\'(56.2-68.6]\'',K,16,2084.79,0,146,48,dobry
400,'\'(56.2-68.6]\'',K,13,1107,3,19,48,dobry
1000,'\'(31.4-43.8]\'',K,98,6000,5,22,48,dobry
289.69,'\'(68.6-inf)\'',K,13,1017,2,166,48,dobry
400,'\'(56.2-68.6]\'',K,13,1137.19,1,101,48,dobry
390.85,'\'(56.2-68.6]\'',K,16,1589,2,31,48,dobry
234.84,'\'(56.2-68.6]\'',K,13,1000,1,62,48,dobry
0,'\'(43.8-56.2]\'',K,12,1200,0,3,0,zly
0,'\'(56.2-68.6]\'',M,11,1130,0,175,48,zly
500,'\'(-inf-31.4]\'',M,11,1800,1,14,48,dobry
400,'\'(56.2-68.6]\'',K,11,1187.06,2,138,48,dobry
500,'\'(-inf-31.4]\'',K,11,2300,0,27,48,dobry
0,'\'(-inf-31.4]\'',M,12,1656,0,26,22,zly
300,'\'(68.6-inf)\'',K,13,1027,5,197,48,dobry
200,'\'(56.2-68.6]\'',M,13,1559,0,76,48,dobry
0,'\'(68.6-inf)\'',K,13,448,0,122,48,zly
261.28,'\'(31.4-43.8]\'',K,98,1200,9,50,48,dobry
200,'\'(56.2-68.6]\'',K,99,670,1,175,48,dobry
342.26,'\'(68.6-inf)\'',K,13,1412,3,209,48,dobry
600,'\'(68.6-inf)\'',M,13,2609,1,195,48,dobry
900,'\'(56.2-68.6]\'',K,17,684,9,209,48,dobry
200,'\'(31.4-43.8]\'',K,12,1865,6,34,9,dobry
500,'\'(43.8-56.2]\'',K,11,1700,1,94,48,dobry
200,'\'(-inf-31.4]\'',K,99,960,0,5,3,dobry
500,'\'(56.2-68.6]\'',M,16,1398,0,398,48,dobry
400,'\'(68.6-inf)\'',K,13,1140,1,242,48,dobry
500,'\'(43.8-56.2]\'',K,11,1966,0,83,48,dobry
1000,'\'(56.2-68.6]\'',K,13,930,3,135,48,dobry
300,'\'(68.6-inf)\'',K,13,1000,6,69,48,dobry
500,'\'(43.8-56.2]\'',M,11,1320,9,347,48,dobry
200,'\'(56.2-68.6]\'',M,13,1217,0,55,48,dobry
300,'\'(31.4-43.8]\'',K,12,1300,1,7,3,dobry
300,'\'(31.4-43.8]\'',K,11,1100,0,62,48,dobry
600,'\'(43.8-56.2]\'',K,11,1300,0,73,48,dobry
400,'\'(43.8-56.2]\'',M,11,1460.17,6,66,48,dobry
597.15,'\'(43.8-56.2]\'',M,12,600,10,27,13,dobry
453.23,'\'(31.4-43.8]\'',M,11,2700,8,20,48,dobry
265.58,'\'(56.2-68.6]\'',K,13,1189,9,74,48,dobry
500,'\'(43.8-56.2]\'',K,11,1738.57,2,62,48,dobry
200,'\'(43.8-56.2]\'',K,16,1045.6,10,17,48,dobry
200,'\'(56.2-68.6]\'',K,13,997,9,84,48,dobry
200,'\'(43.8-56.2]\'',M,11,2284.23,4,304,48,dobry
292.26,'\'(56.2-68.6]\'',K,16,957,1,205,48,dobry
600,'\'(68.6-inf)\'',K,13,640,3,143,48,dobry
628.76,'\'(56.2-68.6]\'',K,13,3251,3,143,48,dobry
800,'\'(56.2-68.6]\'',M,11,1200,0,134,48,dobry
500,'\'(56.2-68.6]\'',K,13,1883.53,0,52,48,dobry
561.8,'\'(56.2-68.6]\'',K,16,892,3,205,48,dobry
0,'\'(-inf-31.4]\'',M,11,1800,0,4,48,zly
298.97,'\'(56.2-68.6]\'',K,16,1389,4,96,48,dobry
200,'\'(56.2-68.6]\'',K,13,917,1,82,48,dobry
350,'\'(68.6-inf)\'',K,13,729.03,10,262,48,dobry
300,'\'(31.4-43.8]\'',K,12,1027,9,59,48,dobry
260.06,'\'(56.2-68.6]\'',K,13,930,6,98,48,dobry
0,'\'(56.2-68.6]\'',K,16,1600,0,120,48,zly
0,'\'(43.8-56.2]\'',M,98,2000,0,267,48,zly
500,'\'(56.2-68.6]\'',K,13,1658,0,34,48,dobry
300,'\'(31.4-43.8]\'',K,12,1382,3,35,9,dobry
200,'\'(68.6-inf)\'',K,16,959.6,9,120,48,dobry
400,'\'(56.2-68.6]\'',K,13,1500,5,65,48,dobry
804.82,'\'(56.2-68.6]\'',M,13,2474,4,20,48,dobry
500,'\'(43.8-56.2]\'',M,12,1952.35,2,11,2,dobry
300,'\'(43.8-56.2]\'',K,11,980,0,204,48,dobry
0,'\'(-inf-31.4]\'',M,11,1755,0,4,48,zly
200,'\'(31.4-43.8]\'',M,11,1800,9,170,48,dobry
0,'\'(-inf-31.4]\'',M,98,4300,0,16,48,zly
300,'\'(-inf-31.4]\'',M,12,1100,1,48,39,dobry
254.38,'\'(56.2-68.6]\'',K,16,634.64,8,141,48,dobry
300,'\'(56.2-68.6]\'',M,12,1231,1,7,3,dobry
700,'\'(43.8-56.2]\'',K,11,1500,0,115,48,dobry
500,'\'(43.8-56.2]\'',M,11,2600,0,7,48,dobry
0,'\'(43.8-56.2]\'',K,99,1241,0,7,0,zly
0,'\'(-inf-31.4]\'',M,98,2900,0,16,48,zly
200,'\'(31.4-43.8]\'',M,11,2000,3,10,48,dobry
623.79,'\'(31.4-43.8]\'',K,98,5000,4,89,48,dobry
400,'\'(56.2-68.6]\'',M,15,1100.79,0,95,48,dobry
200,'\'(56.2-68.6]\'',M,16,1600,0,16,48,dobry
202.28,'\'(56.2-68.6]\'',M,11,3000,10,217,48,dobry
200,'\'(68.6-inf)\'',K,13,730,8,565,48,dobry
200,'\'(43.8-56.2]\'',M,12,1188,0,18,4,dobry
300,'\'(31.4-43.8]\'',K,11,1286.16,2,122,48,dobry
600,'\'(43.8-56.2]\'',K,11,4900,0,16,48,dobry
700,'\'(31.4-43.8]\'',M,98,3014,0,107,48,dobry
300,'\'(31.4-43.8]\'',M,99,750,1,7,5,dobry
200,'\'(31.4-43.8]\'',K,12,980,9,16,0,dobry
500,'\'(31.4-43.8]\'',K,11,2824,1,106,48,dobry
700,'\'(56.2-68.6]\'',K,13,2066,9,134,48,dobry
300,'\'(56.2-68.6]\'',K,13,810,10,38,48,dobry
300,'\'(31.4-43.8]\'',K,12,1200,9,14,0,dobry
300,'\'(43.8-56.2]\'',K,12,111.86,0,23,21,dobry
315.12,'\'(68.6-inf)\'',M,13,960,9,145,48,dobry
342.55,'\'(68.6-inf)\'',M,13,562,5,86,48,dobry
200,'\'(-inf-31.4]\'',M,17,985,1,20,2,dobry
200,'\'(43.8-56.2]\'',M,12,1100,0,12,1,dobry
300,'\'(43.8-56.2]\'',K,16,1500,4,6,48,dobry
0,'\'(31.4-43.8]\'',K,99,526,0,2,2,zly
200,'\'(31.4-43.8]\'',K,12,1250,0,23,16,dobry
400,'\'(56.2-68.6]\'',K,11,1500,8,90,48,dobry
996,'\'(43.8-56.2]\'',M,11,2500,5,209,48,zly
202.87,'\'(56.2-68.6]\'',K,13,1350,8,116,48,dobry
594.54,'\'(56.2-68.6]\'',K,13,3700,1,32,48,dobry
0,'\'(31.4-43.8]\'',K,12,1100,0,58,48,zly
352.7,'\'(43.8-56.2]\'',K,12,1000,3,69,48,dobry
500,'\'(43.8-56.2]\'',K,11,1700,1,210,48,dobry
400,'\'(56.2-68.6]\'',K,16,1411,6,71,48,dobry
500,'\'(68.6-inf)\'',K,13,1248,3,255,48,dobry
200,'\'(-inf-31.4]\'',M,12,1300,0,35,33,dobry
400,'\'(31.4-43.8]\'',K,12,1450,0,60,48,dobry
1500,'\'(56.2-68.6]\'',M,98,3000,2,74,48,dobry
0,'\'(56.2-68.6]\'',K,13,926,0,132,48,zly
500,'\'(56.2-68.6]\'',M,13,1530,0,40,48,dobry
300,'\'(31.4-43.8]\'',K,12,1344,0,9,3,zly
500,'\'(56.2-68.6]\'',K,16,1340,0,166,48,dobry
0,'\'(43.8-56.2]\'',K,11,1375,0,206,48,zly
350,'\'(43.8-56.2]\'',K,12,1700,10,69,48,dobry
297.26,'\'(31.4-43.8]\'',K,11,1380,1,31,48,dobry
599.54,'\'(43.8-56.2]\'',M,12,3500,4,215,48,dobry
400,'\'(68.6-inf)\'',M,13,1097,0,84,48,dobry
200,'\'(56.2-68.6]\'',K,15,678,1,145,48,dobry
200,'\'(56.2-68.6]\'',M,13,1181,0,120,48,dobry
500,'\'(43.8-56.2]\'',M,13,864.34,4,161,48,dobry
0,'\'(56.2-68.6]\'',M,11,2100,0,35,48,zly
0,'\'(31.4-43.8]\'',K,12,868,0,2,1,zly
300,'\'(56.2-68.6]\'',K,13,992.96,1,17,48,dobry
300,'\'(56.2-68.6]\'',K,13,1098,1,61,48,dobry
400,'\'(43.8-56.2]\'',K,12,976,0,2,0,dobry
426.56,'\'(-inf-31.4]\'',M,11,2700,0,69,48,dobry
200,'\'(43.8-56.2]\'',M,99,1416,0,2,0,dobry
400,'\'(56.2-68.6]\'',M,11,1842.86,8,12,48,dobry
265.33,'\'(43.8-56.2]\'',K,11,1050,8,38,48,dobry
500,'\'(31.4-43.8]\'',M,11,2800,0,160,48,dobry
300,'\'(56.2-68.6]\'',K,11,1800,2,116,48,dobry
0,'\'(-inf-31.4]\'',M,12,754,0,2,2,zly
200,'\'(56.2-68.6]\'',K,13,611,8,144,48,dobry
437.11,'\'(56.2-68.6]\'',K,13,1000,9,73,48,dobry
200,'\'(56.2-68.6]\'',K,13,1130,1,108,48,dobry
0,'\'(-inf-31.4]\'',M,11,1411,0,1,48,zly
400,'\'(-inf-31.4]\'',M,11,2151,0,44,48,dobry
200,'\'(56.2-68.6]\'',M,12,1150,0,0,0,dobry
0,'\'(31.4-43.8]\'',M,11,1800,0,8,48,zly
400,'\'(56.2-68.6]\'',K,13,1087.72,0,6,48,dobry
200,'\'(-inf-31.4]\'',M,12,1400,4,17,11,dobry
300,'\'(43.8-56.2]\'',K,11,1400,0,121,48,dobry
484.54,'\'(56.2-68.6]\'',K,13,714,3,227,48,dobry
293.13,'\'(43.8-56.2]\'',M,13,3900,10,35,48,dobry
200,'\'(43.8-56.2]\'',M,12,1188,0,18,3,dobry
550,'\'(43.8-56.2]\'',K,12,1675,9,14,0,dobry
731.95,'\'(56.2-68.6]\'',K,13,1431,2,252,48,dobry
400,'\'(56.2-68.6]\'',M,16,1865,0,337,48,dobry
300,'\'(68.6-inf)\'',K,13,729.03,3,262,48,dobry
300,'\'(43.8-56.2]\'',M,11,1300,0,457,48,dobry
0,'\'(31.4-43.8]\'',K,12,1046.99,0,63,48,zly
450,'\'(68.6-inf)\'',K,13,1019,2,137,48,dobry
400,'\'(43.8-56.2]\'',M,11,3300,3,241,48,dobry
0,'\'(-inf-31.4]\'',M,12,1364,0,59,48,zly
407.59,'\'(56.2-68.6]\'',M,11,2600,1,140,48,dobry
300,'\'(68.6-inf)\'',K,13,821.35,1,251,48,dobry
900,'\'(43.8-56.2]\'',K,11,5800,9,59,48,dobry
480.2,'\'(43.8-56.2]\'',M,13,1500,4,91,48,dobry
200,'\'(68.6-inf)\'',K,13,785,6,69,48,dobry
200,'\'(68.6-inf)\'',M,13,1103,0,48,48,dobry
400,'\'(68.6-inf)\'',M,13,1689.98,0,86,48,dobry
500,'\'(31.4-43.8]\'',K,11,2505,0,169,48,dobry
537.15,'\'(56.2-68.6]\'',K,13,962,5,70,48,dobry
500,'\'(-inf-31.4]\'',M,11,2259,0,76,48,dobry
300,'\'(43.8-56.2]\'',K,12,1700,0,38,33,dobry
387.11,'\'(68.6-inf)\'',K,13,1373,2,115,48,dobry
400,'\'(56.2-68.6]\'',K,13,840,0,118,48,dobry
0,'\'(31.4-43.8]\'',K,12,1200,0,1,0,zly
0,'\'(31.4-43.8]\'',M,11,1124,0,186,48,zly
600,'\'(31.4-43.8]\'',K,11,2709.34,0,186,48,dobry
738.6,'\'(43.8-56.2]\'',K,12,1600,2,17,1,zly
859.23,'\'(68.6-inf)\'',K,13,2534,0,132,48,zly
274.08,'\'(56.2-68.6]\'',M,13,2000,3,39,48,dobry
600,'\'(43.8-56.2]\'',K,11,1443,4,38,48,dobry
600,'\'(68.6-inf)\'',M,13,2547,4,199,48,dobry
300,'\'(43.8-56.2]\'',K,12,1115,0,24,17,dobry
600,'\'(31.4-43.8]\'',K,11,2400,8,118,48,dobry
581.34,'\'(56.2-68.6]\'',K,13,1691.3,5,78,48,dobry
0,'\'(56.2-68.6]\'',K,13,1330,0,84,48,zly
243.13,'\'(56.2-68.6]\'',M,11,2000,4,74,48,dobry
242.26,'\'(-inf-31.4]\'',M,12,2100,1,14,9,zly
499.11,'\'(56.2-68.6]\'',K,13,1800,1,74,48,dobry
400,'\'(56.2-68.6]\'',K,99,900,0,94,48,dobry
350,'\'(68.6-inf)\'',K,13,1239.98,1,260,48,dobry
500,'\'(56.2-68.6]\'',M,16,1770,10,94,48,dobry
250,'\'(43.8-56.2]\'',M,12,822,1,130,48,dobry
441.54,'\'(31.4-43.8]\'',K,98,4000,9,23,48,dobry
300,'\'(43.8-56.2]\'',K,11,900,9,98,48,dobry
400,'\'(31.4-43.8]\'',K,12,2139,0,132,48,dobry
300,'\'(56.2-68.6]\'',K,13,1240,2,75,48,dobry
0,'\'(56.2-68.6]\'',K,13,1330,0,84,48,zly
0,'\'(-inf-31.4]\'',K,11,1626,0,17,48,zly
300,'\'(43.8-56.2]\'',K,12,1200,0,27,23,dobry
600,'\'(43.8-56.2]\'',K,11,2800,1,65,48,dobry
700,'\'(56.2-68.6]\'',M,11,2800,2,101,48,dobry
0,'\'(56.2-68.6]\'',K,13,1700,0,40,48,zly
0,'\'(-inf-31.4]\'',M,99,1474,0,8,0,zly
400,'\'(56.2-68.6]\'',K,13,1208,1,85,48,dobry
561.74,'\'(56.2-68.6]\'',M,13,2474,2,20,48,dobry
500,'\'(68.6-inf)\'',M,13,1162.41,0,109,48,dobry
600,'\'(43.8-56.2]\'',K,16,1362,2,34,48,dobry
1000,'\'(56.2-68.6]\'',M,12,2500,8,10,0,dobry
249.9,'\'(-inf-31.4]\'',M,11,1600,2,8,48,dobry
300,'\'(31.4-43.8]\'',M,11,2725,2,58,48,dobry
300,'\'(56.2-68.6]\'',K,13,744.07,0,17,48,dobry
500,'\'(43.8-56.2]\'',M,11,1200,1,218,48,dobry
450,'\'(31.4-43.8]\'',M,11,1931,0,72,48,dobry
313.42,'\'(31.4-43.8]\'',K,11,2927,8,206,48,dobry
500,'\'(43.8-56.2]\'',M,99,1400,0,21,0,dobry
400,'\'(31.4-43.8]\'',M,11,3800,0,14,48,dobry
688,'\'(43.8-56.2]\'',K,11,3200,9,59,48,dobry
400,'\'(56.2-68.6]\'',K,13,1650,2,87,48,dobry
300,'\'(43.8-56.2]\'',K,99,1100,0,57,48,dobry
300,'\'(56.2-68.6]\'',M,13,2110,3,106,48,dobry
300,'\'(56.2-68.6]\'',K,13,783,1,158,48,dobry
350,'\'(56.2-68.6]\'',K,13,1514,1,51,48,dobry
400,'\'(68.6-inf)\'',K,13,1900,6,126,48,dobry
389.72,'\'(43.8-56.2]\'',K,98,3000,6,90,48,dobry
800,'\'(56.2-68.6]\'',K,13,5100,5,33,48,dobry
500,'\'(31.4-43.8]\'',K,11,2200,0,16,48,dobry
400,'\'(43.8-56.2]\'',M,11,1566.82,0,354,48,dobry
292.54,'\'(43.8-56.2]\'',K,11,1077.49,4,377,48,dobry
300,'\'(56.2-68.6]\'',M,11,1170,2,72,48,dobry
596.28,'\'(31.4-43.8]\'',M,11,2200,1,133,48,dobry
0,'\'(43.8-56.2]\'',M,13,981,0,72,48,zly
322.17,'\'(43.8-56.2]\'',K,11,2065.98,2,184,48,dobry
587.11,'\'(56.2-68.6]\'',K,13,1879,1,41,48,dobry
750,'\'(56.2-68.6]\'',M,13,3900,0,119,48,dobry
200,'\'(56.2-68.6]\'',K,13,984,5,16,48,dobry
833.26,'\'(56.2-68.6]\'',K,13,1362,9,61,48,dobry
240,'\'(56.2-68.6]\'',K,11,1172.2,9,42,48,dobry
475.38,'\'(43.8-56.2]\'',M,11,2500,4,379,48,dobry
300,'\'(68.6-inf)\'',M,13,1180,0,145,48,dobry
576.3,'\'(68.6-inf)\'',K,13,2100,0,60,48,dobry
400,'\'(56.2-68.6]\'',K,13,850,9,72,48,dobry
300,'\'(68.6-inf)\'',K,13,1257,1,133,48,dobry
487.15,'\'(68.6-inf)\'',K,13,951,0,167,48,dobry
300,'\'(-inf-31.4]\'',M,11,1900,1,63,48,dobry
200,'\'(68.6-inf)\'',K,13,1300,0,198,48,dobry
600,'\'(-inf-31.4]\'',K,98,5000,1,6,48,dobry
242.26,'\'(43.8-56.2]\'',K,17,864.6,1,7,0,dobry
292.55,'\'(-inf-31.4]\'',M,11,1590,4,58,48,dobry
281.84,'\'(43.8-56.2]\'',K,12,1032,1,52,48,dobry
200,'\'(56.2-68.6]\'',K,13,796.09,1,61,48,dobry
430,'\'(31.4-43.8]\'',M,11,2470,6,71,48,dobry
0,'\'(-inf-31.4]\'',K,12,1196,0,23,15,zly
200,'\'(68.6-inf)\'',K,13,1100,1,253,48,dobry
316.55,'\'(31.4-43.8]\'',M,11,1058,5,19,48,dobry
0,'\'(-inf-31.4]\'',M,99,1800,0,7,1,zly
600,'\'(31.4-43.8]\'',K,11,1331.21,9,24,48,dobry
200,'\'(56.2-68.6]\'',M,13,1287.66,0,101,48,zly
400,'\'(56.2-68.6]\'',K,13,809,2,189,48,zly
395.44,'\'(43.8-56.2]\'',M,13,4200,2,62,48,dobry
438.08,'\'(43.8-56.2]\'',M,11,2011,3,216,48,dobry
0,'\'(-inf-31.4]\'',M,99,1800,0,7,1,zly
