status pozyczki,kwota kredytu,wiek,plec,rodzaj zrodla dochodu,miesieczny dochod netto,ktore rolowanie,okres w jakim pobieral dochod,okres w jakim bedzie pobieral dochod,opoznienie splaty
splacona_cz,350,71,K,13,729.03,10,262,48,0
splacona_cz,300,40,K,12,1027,9,59,48,0
splacona_cz,260.06,64,K,13,930,6,98,48,0
odmowa,0,57,K,16,1600,0,120,48,0
odmowa,0,55,M,98,2000,0,267,48,0
splacona_cz,500,60,K,13,1658,0,34,48,0
splacona_cz,300,38,K,12,1382,3,35,9,0
splacona_cz,200,70,K,16,959.6,9,120,48,5
splacona_cz,400,61,K,13,1500,5,65,48,0
splacona_cz,804.82,63,M,13,2474,4,20,48,0
splacona,500,45,M,12,1952.35,2,11,2,10
splacona_cz,300,49,K,11,980,0,204,48,0
odmowa,0,21,M,11,1755,0,4,48,0
splacona_cz,200,34,M,11,1800,9,170,48,0
odmowa,0,27,M,98,4300,0,16,48,0
splacona,300,27,M,12,1100,1,48,39,8
splacona_cz,254.38,58,K,16,634.64,8,141,48,0
splacona_cz,300,64,M,12,1231,1,7,3,0
splacona,700,55,K,11,1500,0,115,48,0
splacona_cz,500,46,M,11,2600,0,7,48,1
odmowa,0,45,K,99,1241,0,7,0,0
odmowa,0,27,M,98,2900,0,16,48,0
splacona,200,32,M,11,2000,3,10,48,0
splacona,623.79,42,K,98,5000,4,89,48,11
splacona_cz,400,63,M,15,1100.79,0,95,48,0
splacona_cz,200,68,M,16,1600,0,16,48,0
splacona_cz,202.28,61,M,11,3000,10,217,48,0
splacona_cz,200,73,K,13,730,8,565,48,0
splacona,200,52,M,12,1188,0,18,4,0
splacona_cz,300,43,K,11,1286.16,2,122,48,0
splacona,600,51,K,11,4900,0,16,48,0
splacona_cz,700,43,M,98,3014,0,107,48,0
splacona_cz,300,36,M,99,750,1,7,5,0
splacona_cz,200,32,K,12,980,9,16,0,4
splacona_cz,500,42,K,11,2824,1,106,48,5
splacona_cz,700,62,K,13,2066,9,134,48,0
splacona_cz,300,61,K,13,810,10,38,48,0
splacona_cz,300,36,K,12,1200,9,14,0,0
splacona_cz,300,55,K,12,111.86,0,23,21,3
splacona_cz,315.12,74,M,13,960,9,145,48,0
splacona_cz,342.55,72,M,13,562,5,86,48,5
splacona_cz,200,21,M,17,985,1,20,2,0
splacona_cz,200,49,M,12,1100,0,12,1,1
splacona_cz,300,55,K,16,1500,4,6,48,0
odmowa,0,32,K,99,526,0,2,2,0
splacona,200,33,K,12,1250,0,23,16,0
splacona_cz,400,59,K,11,1500,8,90,48,3
windykacja,996,48,M,11,2500,5,209,48,1839
splacona_cz,202.87,66,K,13,1350,8,116,48,0
splacona_cz,594.54,63,K,13,3700,1,32,48,0
odmowa,0,34,K,12,1100,0,58,48,0
splacona,352.7,55,K,12,1000,3,69,48,0
splacona_cz,500,54,K,11,1700,1,210,48,0
splacona_cz,400,61,K,16,1411,6,71,48,3
splacona_cz,500,76,K,13,1248,3,255,48,2
splacona,200,22,M,12,1300,0,35,33,0
splacona,400,41,K,12,1450,0,60,48,0
splacona_cz,1500,58,M,98,3000,2,74,48,13
odmowa,0,68,K,13,926,0,132,48,0
splacona_cz,500,65,M,13,1530,0,40,48,5
windykacja,300,42,K,12,1344,0,9,3,1838
splacona,500,64,K,16,1340,0,166,48,0
odmowa,0,45,K,11,1375,0,206,48,0
splacona_cz,350,55,K,12,1700,10,69,48,0
splacona_cz,297.26,34,K,11,1380,1,31,48,2
splacona_cz,599.54,46,M,12,3500,4,215,48,0
splacona_cz,400,72,M,13,1097,0,84,48,0
splacona_cz,200,57,K,15,678,1,145,48,0
splacona_cz,200,66,M,13,1181,0,120,48,7
splacona_cz,500,48,M,13,864.34,4,161,48,3
odmowa,0,58,M,11,2100,0,35,48,0
odmowa,0,34,K,12,868,0,2,1,0
splacona_cz,300,62,K,13,992.96,1,17,48,0
splacona_cz,300,60,K,13,1098,1,61,48,2
splacona,400,50,K,12,976,0,2,0,0
splacona,426.56,31,M,11,2700,0,69,48,14
splacona,200,46,M,99,1416,0,2,0,0
splacona_cz,400,57,M,11,1842.86,8,12,48,1
splacona,265.33,53,K,11,1050,8,38,48,1
splacona,500,37,M,11,2800,0,160,48,0
splacona_cz,300,57,K,11,1800,2,116,48,0
odmowa,0,20,M,12,754,0,2,2,0
splacona_cz,200,58,K,13,611,8,144,48,1
splacona_cz,437.11,61,K,13,1000,9,73,48,2
splacona_cz,200,63,K,13,1130,1,108,48,0
odmowa,0,21,M,11,1411,0,1,48,0
splacona,400,27,M,11,2151,0,44,48,1
splacona,200,59,M,12,1150,0,0,0,1
odmowa,0,43,M,11,1800,0,8,48,0
splacona,400,61,K,13,1087.72,0,6,48,1
splacona,200,28,M,12,1400,4,17,11,0
splacona_cz,300,55,K,11,1400,0,121,48,0
splacona_cz,484.54,63,K,13,714,3,227,48,0
splacona,293.13,50,M,13,3900,10,35,48,0
splacona_cz,200,52,M,12,1188,0,18,3,2
splacona_cz,550,55,K,12,1675,9,14,0,6
splacona_cz,731.95,68,K,13,1431,2,252,48,1
splacona_cz,400,61,M,16,1865,0,337,48,2
splacona_cz,300,71,K,13,729.03,3,262,48,1
splacona_cz,300,54,M,11,1300,0,457,48,0
odmowa,0,41,K,12,1046.99,0,63,48,0
splacona_cz,450,69,K,13,1019,2,137,48,6
splacona_cz,400,45,M,11,3300,3,241,48,0
odmowa,0,30,M,12,1364,0,59,48,0
splacona_cz,407.59,65,M,11,2600,1,140,48,0
splacona_cz,300,76,K,13,821.35,1,251,48,2
splacona_cz,900,48,K,11,5800,9,59,48,2
splacona_cz,480.2,48,M,13,1500,4,91,48,0
splacona_cz,200,73,K,13,785,6,69,48,0
splacona_cz,200,69,M,13,1103,0,48,48,0
splacona,400,69,M,13,1689.98,0,86,48,0
splacona_cz,500,41,K,11,2505,0,169,48,1
splacona_cz,537.15,63,K,13,962,5,70,48,1
splacona_cz,500,26,M,11,2259,0,76,48,6
splacona,300,49,K,12,1700,0,38,33,2
splacona_cz,387.11,75,K,13,1373,2,115,48,0
splacona,400,65,K,13,840,0,118,48,0
odmowa,0,39,K,12,1200,0,1,0,0
odmowa,0,32,M,11,1124,0,186,48,0
splacona_cz,600,36,K,11,2709.34,0,186,48,0
windykacja_sp,738.6,56,K,12,1600,2,17,1,165
windykacja_sp,859.23,73,K,13,2534,0,132,48,208
splacona_cz,274.08,63,M,13,2000,3,39,48,0
splacona_cz,600,44,K,11,1443,4,38,48,1
splacona,600,81,M,13,2547,4,199,48,0
splacona_cz,300,50,K,12,1115,0,24,17,0
splacona_cz,600,36,K,11,2400,8,118,48,6
splacona,581.34,63,K,13,1691.3,5,78,48,18
odmowa,0,67,K,13,1330,0,84,48,0
splacona_cz,243.13,60,M,11,2000,4,74,48,6
windykacja,242.26,31,M,12,2100,1,14,9,1832
splacona_cz,499.11,61,K,13,1800,1,74,48,0
splacona_cz,400,60,K,99,900,0,94,48,3
splacona,350,79,K,13,1239.98,1,260,48,0
splacona_cz,500,59,M,16,1770,10,94,48,0
splacona,250,50,M,12,822,1,130,48,0
splacona,441.54,36,K,98,4000,9,23,48,10
splacona_cz,300,47,K,11,900,9,98,48,4
splacona_cz,400,34,K,12,2139,0,132,48,0
splacona_cz,300,59,K,13,1240,2,75,48,0
odmowa,0,67,K,13,1330,0,84,48,0
odmowa,0,24,K,11,1626,0,17,48,0
splacona_cz,300,54,K,12,1200,0,27,23,0
splacona_cz,600,55,K,11,2800,1,65,48,5
splacona_cz,700,60,M,11,2800,2,101,48,5
odmowa,0,66,K,13,1700,0,40,48,0
odmowa,0,23,M,99,1474,0,8,0,0
splacona_cz,400,61,K,13,1208,1,85,48,5
splacona_cz,561.74,63,M,13,2474,2,20,48,0
splacona_cz,500,69,M,13,1162.41,0,109,48,0
splacona_cz,600,54,K,16,1362,2,34,48,2
splacona_cz,1000,58,M,12,2500,8,10,0,4
splacona_cz,249.9,26,M,11,1600,2,8,48,0
splacona_cz,300,32,M,11,2725,2,58,48,0
splacona_cz,300,62,K,13,744.07,0,17,48,0
splacona_cz,500,54,M,11,1200,1,218,48,0
splacona_cz,450,38,M,11,1931,0,72,48,4
splacona_cz,313.42,39,K,11,2927,8,206,48,2
splacona,500,47,M,99,1400,0,21,0,0
splacona_cz,400,39,M,11,3800,0,14,48,0
splacona_cz,688,52,K,11,3200,9,59,48,3
splacona_cz,400,63,K,13,1650,2,87,48,1
splacona_cz,300,54,K,99,1100,0,57,48,2
splacona,300,67,M,13,2110,3,106,48,0
splacona_cz,300,68,K,13,783,1,158,48,0
splacona_cz,350,59,K,13,1514,1,51,48,0
splacona_cz,400,76,K,13,1900,6,126,48,1
splacona_cz,389.72,53,K,98,3000,6,90,48,1
splacona_cz,800,62,K,13,5100,5,33,48,0
splacona_cz,500,34,K,11,2200,0,16,48,0
splacona,400,47,M,11,1566.82,0,354,48,4
splacona_cz,292.54,49,K,11,1077.49,4,377,48,0
splacona_cz,300,57,M,11,1170,2,72,48,3
splacona_cz,596.28,33,M,11,2200,1,133,48,16
odmowa,0,50,M,13,981,0,72,48,0
splacona_cz,322.17,53,K,11,2065.98,2,184,48,4
splacona_cz,587.11,63,K,13,1879,1,41,48,11
splacona,750,60,M,13,3900,0,119,48,2
splacona_cz,200,62,K,13,984,5,16,48,2
splacona_cz,833.26,62,K,13,1362,9,61,48,2
splacona_cz,240,57,K,11,1172.2,9,42,48,4
splacona_cz,475.38,50,M,11,2500,4,379,48,1
splacona,300,75,M,13,1180,0,145,48,0
splacona_cz,576.3,74,K,13,2100,0,60,48,0
splacona_cz,400,67,K,13,850,9,72,48,0
splacona_cz,300,71,K,13,1257,1,133,48,0
splacona_cz,487.15,74,K,13,951,0,167,48,1
splacona_cz,300,30,M,11,1900,1,63,48,0
splacona_cz,200,78,K,13,1300,0,198,48,0
splacona,600,24,K,98,5000,1,6,48,16
splacona_cz,242.26,55,K,17,864.6,1,7,0,0
splacona_cz,292.55,30,M,11,1590,4,58,48,5
splacona_cz,281.84,47,K,12,1032,1,52,48,1
splacona,200,65,K,13,796.09,1,61,48,0
splacona_cz,430,39,M,11,2470,6,71,48,2
odmowa,0,24,K,12,1196,0,23,15,0
splacona_cz,200,78,K,13,1100,1,253,48,1
splacona_cz,316.55,36,M,11,1058,5,19,48,0
odmowa,0,24,M,99,1800,0,7,1,0
splacona_cz,600,33,K,11,1331.21,9,24,48,0
windykacja,200,64,M,13,1287.66,0,101,48,1826
windykacja,400,68,K,13,809,2,189,48,1826
splacona_cz,395.44,52,M,13,4200,2,62,48,0
splacona_cz,438.08,53,M,11,2011,3,216,48,0
odmowa,0,24,M,99,1800,0,7,1,0
splacona_cz,291.14,38,K,12,2000,2,158,48,8
splacona_cz,300,55,K,11,1686,1,103,48,4
splacona_cz,200,57,M,12,1600,1,60,48,14
odmowa,0,55,K,11,1127.82,0,254,48,0
splacona_cz,326.67,64,K,13,1668,10,96,48,0
odmowa,0,60,K,13,632,0,74,48,0
splacona_cz,500,78,K,13,1299,2,275,48,0
splacona_cz,250,61,K,13,1224,0,60,48,0
odmowa,0,57,M,11,2000,0,8,48,0
odmowa,0,34,M,11,1300,0,158,48,0
splacona,200,22,M,12,1500,0,23,11,0
splacona,677.97,40,K,11,1800,0,57,48,18
splacona_cz,300,71,K,13,1446,2,73,48,3
odmowa,0,53,M,17,864.34,0,11,3,0
splacona,400,56,M,11,1100,0,110,48,0
splacona_cz,500,50,K,11,1800,10,58,48,3
splacona,200,58,M,13,12220,0,76,48,0
splacona,300,62,K,13,1431,0,51,48,0
splacona_cz,500,50,K,11,2470,0,359,48,0
odmowa,0,25,M,11,3272,0,15,48,0
splacona_cz,500,50,M,11,1867.29,0,54,48,0
splacona,200,21,K,12,1394,1,23,20,0
splacona_cz,700,69,K,16,965,3,136,48,11
windykacja,300,46,K,12,1294,1,15,9,1824
splacona,200,63,K,13,3700,10,32,48,0
splacona_cz,200,54,M,11,2094.17,6,246,48,6
splacona_cz,200,71,K,13,910,10,133,48,0
splacona_cz,500,57,M,13,4388,0,60,48,0
splacona_cz,600,60,M,11,2300,0,77,48,0
splacona_cz,300,80,K,13,1167.94,5,374,48,0
splacona,200,67,K,13,1428.55,3,142,48,0
splacona_cz,298.01,53,K,11,1400,6,166,48,0
splacona,300,72,M,13,1426,10,82,48,43
splacona_cz,500,75,K,13,1060,1,252,48,0
windykacja,300,23,K,12,1500,9,18,8,1822
splacona_cz,200,27,K,12,1100,6,29,9,4
splacona_cz,300,64,K,13,1100,7,110,48,0
windykacja,738.02,74,K,13,1936,1,505,48,1822
splacona,300,39,M,12,1400,1,2,1,42
odmowa,0,28,K,16,597,0,119,48,0
splacona_cz,400,55,K,11,1840,1,361,48,0
splacona_cz,200,76,K,13,965,9,250,48,0
splacona_cz,300,46,K,11,3000,4,98,48,0
splacona_cz,300,66,K,13,813.35,0,206,48,0
splacona_cz,300,58,K,11,1680,9,390,48,0
splacona_cz,400,51,K,12,1000,10,37,0,0
splacona,400,61,M,12,1000,10,26,8,0
splacona_cz,1000,43,M,11,2263,0,80,48,4
splacona_cz,500,62,K,13,1170,1,83,48,0
splacona,400,64,M,11,1660,0,55,48,0
splacona_cz,300,66,K,13,802.83,4,206,48,0
splacona_cz,400.91,40,K,11,1239.05,2,209,48,5
splacona,350,74,K,11,1348.95,2,119,48,0
splacona_cz,300,71,M,13,1642.87,4,74,48,5
splacona_cz,200,54,K,16,749.28,10,70,48,0
splacona_cz,800,53,M,11,3200,0,194,48,0
splacona_cz,600,64,K,13,1233,3,129,48,2
splacona_cz,200,59,K,16,634,9,57,48,0
splacona_cz,300,47,K,98,911,0,104,48,8
splacona_cz,228.74,65,K,13,1582.15,2,111,48,5
odmowa,0,45,M,98,1170,0,12,48,0
splacona_cz,400,61,K,16,1406,0,121,48,0
splacona,203.42,30,M,11,1888.27,4,1,48,7
splacona_cz,400,57,K,98,980,0,15,48,0
splacona,200,56,K,11,2800,5,15,48,2
splacona,200,62,K,13,975,9,33,48,9
splacona_cz,1256.49,56,K,16,2300,1,68,48,2
splacona_cz,449.94,45,K,11,2245.01,4,151,48,2
splacona_cz,200,37,K,11,1350,1,32,48,7
windykacja,285.11,60,K,12,1320,3,35,19,1818
splacona_cz,600,57,K,11,2103.84,0,174,48,0
windykacja,477.11,47,M,13,2692.96,0,4,48,1818
splacona_cz,500,30,K,12,1447,10,35,8,0
odmowa,0,63,K,13,1055,0,98,48,0
splacona_cz,626.93,64,K,13,3251,4,143,48,0
odmowa,0,61,K,13,1907,0,63,48,0
splacona_cz,500,76,M,13,1150,2,144,48,21
splacona_cz,300,32,M,11,1100,0,0,48,7
splacona_cz,600,28,K,11,2100,1,28,48,0
splacona_cz,400,22,K,99,1155,0,5,2,6
splacona,500,51,K,17,990,6,85,48,10
splacona,500,54,M,11,2080,4,324,48,10
splacona_cz,400,66,M,16,1473.04,7,171,48,0
splacona_cz,200,58,K,99,780,6,12,5,0
splacona_cz,1000,70,K,13,2344.62,0,76,48,0
windykacja,400,61,K,13,1155,4,20,48,1818
splacona_cz,1000,66,M,13,3074,0,207,48,0
splacona_cz,1000,42,K,98,6000,6,23,48,1
splacona_cz,800,56,K,13,3440,10,57,48,1
splacona_cz,200,29,M,12,2100,0,23,19,0
splacona_cz,300,38,M,99,1500,1,10,6,0
splacona,200,59,K,13,1300,0,40,48,0
splacona_cz,200,61,K,13,1635,10,125,48,0
splacona_cz,300,52,M,17,1214,0,108,48,0
splacona_cz,200,78,K,13,1300,1,199,48,0
splacona_cz,390.85,59,K,16,1589,3,32,48,0
splacona,700,34,K,11,1540,1,44,48,4
splacona_cz,700,57,M,13,1553,1,114,48,3
windykacja,300,40,K,12,1323.55,1,75,48,1818
odmowa,0,36,K,11,1890,0,46,48,0
splacona_cz,200,66,M,13,1559,1,77,48,2
odmowa,0,57,K,16,1446,0,6,48,0
splacona_cz,222.73,51,M,16,1045,9,205,48,5
splacona,200,63,M,13,1162,10,227,48,0
splacona_cz,1000,81,K,13,2090,2,251,48,10
splacona_cz,779.89,48,K,12,830.46,8,71,48,4
splacona_cz,342.26,74,K,13,1412,4,209,48,3
splacona_cz,600,62,M,16,837,2,237,48,13
splacona_cz,300,69,K,13,1027,6,198,48,20
splacona_cz,500,36,M,11,2200,0,91,48,4
splacona,200,38,K,12,599.03,1,26,1,10
splacona_cz,250,45,K,99,1055,0,13,5,0
splacona_cz,310.37,55,K,11,1721.7,0,126,48,0
splacona_cz,600,78,M,13,2609,2,196,48,0
splacona_cz,289.69,69,K,13,1104.65,3,167,48,0
splacona_cz,650,44,K,11,1966,0,84,48,10
splacona_cz,400,55,K,11,1756,0,4,48,2
splacona_cz,200,32,K,12,1865,7,34,8,2
splacona_cz,257.27,55,M,11,2100,7,43,48,1
splacona_cz,349.66,65,M,13,1601.87,6,51,48,0
splacona_cz,497.95,71,K,13,1200,9,124,48,3
splacona,200,71,K,13,1200,3,124,48,3
splacona_cz,500,63,K,16,2084.79,1,147,48,0
splacona,700,59,K,13,1872,10,40,48,2
splacona_cz,200,60,K,13,1000,2,63,48,3
splacona_cz,638.47,50,K,11,2800,2,324,48,1
splacona,200,57,K,99,736,2,175,48,0
windykacja,500,52,K,11,1700,9,311,48,1815
splacona_cz,400,26,K,17,1200,2,179,48,0
odmowa,0,31,M,99,900,0,1,0,0
splacona_cz,2500,73,M,13,2612,2,87,48,5
splacona,350,50,M,12,1001,0,130,48,0
splacona_cz,800,61,M,11,1200,1,135,48,5
splacona_cz,400,67,K,13,1137.19,2,102,48,0
splacona_cz,299.26,41,K,11,1100,1,63,48,1
splacona_cz,940,66,K,13,930,4,136,48,0
splacona_cz,242.26,36,K,12,1300,2,7,2,0
splacona_cz,300,71,K,13,1000,7,70,48,0
splacona_cz,597.15,48,M,12,600,11,27,11,0
splacona_cz,500,48,K,11,1700,2,95,48,0
odmowa,0,71,K,13,1154.88,0,183,48,0
splacona_cz,600,73,K,13,640,4,144,48,0
splacona_cz,261.52,63,K,13,1189,10,75,48,0
splacona_cz,400,74,K,13,1140,2,243,48,0
splacona,400,55,K,12,2200,0,11,2,0
splacona_cz,400,75,K,13,1594.57,1,42,48,2
splacona_cz,1000,74,K,13,2100,1,61,48,4
splacona_cz,200,73,K,13,730,9,566,48,1
splacona,500,59,K,13,1883.53,1,53,48,0
splacona_cz,300,64,M,12,1231,2,7,2,0
splacona_cz,249.3,58,K,16,2100,5,44,48,11
splacona_cz,200,68,M,16,1600,1,17,48,0
splacona_cz,900,59,K,17,684,10,209,48,0
splacona,635.71,64,K,13,960.96,4,86,48,9
splacona_cz,200,61,K,13,972.77,2,83,48,0
splacona_cz,467.11,44,K,11,1738.57,3,63,48,0
splacona,800,50,K,11,1764,4,70,48,26
splacona_cz,1000,58,K,13,1530,3,30,48,11
splacona_cz,300,40,K,12,1027,10,59,48,3
splacona,202.28,61,M,11,3000,11,218,48,0
splacona_cz,235.94,39,K,98,1200,10,51,48,0
splacona_cz,560,64,K,13,930,7,99,48,0
splacona,300,43,K,11,1286.16,3,123,48,0
splacona_cz,350,71,K,13,768.89,11,263,48,0
splacona_cz,200,34,M,11,1800,10,171,48,0
splacona,476.83,62,M,11,1250,0,71,48,14
splacona_cz,300,38,K,12,1382,4,35,8,0
splacona_cz,700,43,M,98,3014,1,108,48,0
splacona_cz,700,66,K,16,892,0,206,48,0
splacona_cz,487.11,60,K,13,1711,1,35,48,0
splacona_cz,400,61,K,13,1577.98,6,66,48,0
splacona_cz,598.85,46,M,12,3500,5,215,48,0
windykacja_sp,377.11,63,K,13,1474.55,0,71,48,0
splacona_cz,298.75,64,K,16,1389,5,97,48,3
splacona_cz,254.01,58,K,16,634.64,9,142,48,0
splacona_cz,300,49,K,11,980,1,205,48,0
odmowa,0,21,M,12,2500,0,24,13,0
splacona_cz,786.49,63,M,13,2474,5,21,48,0
splacona_cz,500,33,K,12,1500,0,9,4,1
odmowa,0,38,M,12,2300,0,206,48,0
odmowa,0,37,M,12,1627,0,2,1,0
splacona,700,55,K,11,1500,0,116,48,1
splacona_cz,500,59,K,13,1522.63,0,48,48,5
odmowa,0,59,M,13,1026,0,51,48,0
splacona_cz,490,56,M,11,1460.17,7,67,48,4
windykacja,535.49,37,M,11,3898,5,186,48,1810
splacona_cz,300,61,K,13,810,11,39,48,0
splacona_cz,200,21,M,17,985,2,20,1,2
splacona_cz,500,54,M,11,1320,10,348,48,0
splacona_cz,700,62,K,13,2066,10,135,48,0
splacona_cz,400,57,M,13,1944,0,156,48,3
odmowa,0,37,K,11,1499,0,73,48,0
splacona_cz,499.99,46,M,11,2600,1,8,48,2
splacona_cz,282.84,64,K,13,1014,4,188,48,10
splacona_cz,300,36,M,99,750,2,7,4,0
splacona,400,63,M,15,1100.79,1,96,48,0
splacona,200,44,M,11,2284.23,5,305,48,0
odmowa,0,33,M,17,498,0,105,48,0
splacona_cz,1000,58,M,13,3772,0,92,48,0
splacona,300,55,K,16,1500,5,7,48,0
splacona_cz,300,36,K,12,1200,10,16,1,2
splacona_cz,600,47,M,11,2100,0,125,48,0
splacona_cz,200,57,K,15,736.36,2,146,48,0
splacona,500,27,K,11,2300,0,28,48,0
windykacja_sp,830,60,K,13,1400,5,252,48,176
odmowa,0,20,K,17,1330,0,23,4,0
splacona_cz,500,55,K,12,1230,0,69,48,0
splacona_cz,315.12,74,M,13,1024.9,10,145,48,1
odmowa,0,42,K,12,860,0,6,1,0
splacona_cz,200,52,M,12,1188,0,18,3,10
splacona_cz,500,37,M,12,2000,0,71,48,0
splacona_cz,576.48,63,K,13,1427.8,2,33,48,0
splacona_cz,291.43,67,K,16,957,2,206,48,2
splacona_cz,202.87,66,K,13,1400.96,9,117,48,0
splacona_cz,350,55,K,12,1700,11,69,48,0
splacona_cz,500,54,K,11,1700,2,211,48,3
odmowa,0,52,K,11,1504,0,228,48,0
splacona,500,41,K,12,1450,0,60,48,0
splacona_cz,200,49,M,12,1100,1,12,0,2
odmowa,0,29,M,12,1000,0,16,8,0
splacona,400,72,M,13,1097,1,85,48,0
splacona_cz,500,76,K,13,1314.76,4,256,48,5
splacona,296.52,34,K,11,1380,2,32,48,1
splacona,400,50,K,12,976,0,8,5,0
odmowa,0,23,M,99,1000,0,2,0,0
splacona_cz,200,64,K,16,534,0,167,48,1
splacona,2548.44,58,M,98,20000,1,136,48,15
splacona,250,43,K,11,1520,0,27,48,0
splacona,300,55,K,12,111.86,1,23,20,1
splacona_cz,300,57,K,11,1800,3,117,48,2
windykacja,218.75,62,K,13,1090.14,0,81,48,1806
splacona,597.54,55,K,11,1300,1,74,48,9
splacona,200,70,K,16,959.6,10,121,48,12
splacona_cz,200,63,K,13,1130,2,109,48,1
splacona_cz,400,59,K,11,1500,9,91,48,8
splacona_cz,300,62,K,13,1051.89,2,18,48,0
splacona_cz,300,59,K,13,1240,3,76,48,1
splacona_cz,400,61,K,16,1411,7,72,48,2
splacona_cz,200,32,K,12,980,10,17,0,1
windykacja_sp,739.39,33,K,11,3100,0,127,48,15
splacona,739.39,38,K,11,3178.76,0,127,48,19
splacona_cz,300,57,K,11,1187.06,0,139,48,5
splacona_cz,500,79,K,13,1302.55,0,261,48,0
splacona_cz,500,37,K,11,1600,0,185,48,1
splacona,400,22,M,12,1300,0,35,32,0
splacona_cz,500,42,K,11,2824,2,107,48,0
splacona_cz,500,27,M,11,2151,0,45,48,6
splacona_cz,300,59,M,12,1131,0,0,0,6
splacona,300,75,M,13,1271,0,156,48,0
splacona_cz,250,68,K,13,777,0,99,48,0
splacona,1000,55,M,13,2651.19,0,122,48,147
splacona_cz,300,55,K,11,1400,1,122,48,0
odmowa,0,42,K,12,640,0,15,10,0
splacona_cz,500,61,K,13,1087.72,0,7,48,5
splacona_cz,500,61,K,13,1241,0,3,48,0
splacona_cz,408.16,32,M,11,2700,9,21,48,13
splacona,399.69,45,M,11,3300,4,242,48,0
splacona,300,54,M,11,1300,1,458,48,0
splacona_cz,200,46,M,99,1416,0,4,1,9
splacona,200,58,K,13,668,9,145,48,0
splacona_cz,400,57,M,11,1842.86,9,13,48,0
splacona_cz,437.11,61,K,13,1000,10,74,48,0
splacona_cz,500,62,K,13,997,0,85,48,0
splacona,500,66,M,13,1217,0,57,48,0
splacona_cz,477.92,48,M,13,1500,5,92,48,0
splacona_cz,584.54,36,K,11,2709.34,1,187,48,0
splacona,200,73,K,13,785,7,70,48,0
splacona_cz,500,48,K,98,2000,0,7,48,0
splacona_cz,300,60,K,13,1098,2,62,48,7
splacona_cz,384.32,63,K,13,790.98,4,228,48,0
odmowa,0,41,K,11,1260,0,8,48,0
splacona_cz,300,50,K,12,1115,1,24,16,0
splacona_cz,400.88,65,M,11,2600,2,141,48,0
splacona_cz,500,66,M,13,3245.27,0,9,48,18
splacona_cz,498.8,61,K,13,1800,2,75,48,0
splacona_cz,342.55,72,M,13,562,6,87,48,7
splacona_cz,400,64,K,13,1547,0,39,48,0
splacona_cz,731.95,68,K,13,1431,3,253,48,12
splacona_cz,387.11,75,K,13,1471,3,116,48,0
splacona_cz,300,71,K,13,729.03,4,263,48,0
splacona_cz,500,26,M,11,1600,3,9,48,0
splacona_cz,500,48,M,13,864.34,5,162,48,0
splacona,400,63,K,16,1151.1,0,38,48,0
splacona_cz,200,69,M,13,1103,1,49,48,5
splacona_cz,450,69,M,13,1162.41,1,110,48,0
splacona_cz,254.06,63,M,13,2000,4,40,48,0
splacona,200,65,M,13,1530,1,41,48,0
splacona_cz,300,62,K,13,744.07,1,18,48,0
splacona_cz,300,32,M,11,2725,3,58,48,2
windykacja,500,41,K,11,2505,1,170,48,1801
splacona_cz,200,64,M,16,808.99,0,255,48,0
splacona,200,63,K,13,790.98,0,228,48,0
splacona_cz,500,54,M,11,1200,2,219,48,0
splacona,491.87,63,K,13,962,6,71,48,0
splacona,500,71,M,13,1500,0,59,48,4
odmowa,0,46,K,17,898.28,0,98,48,0
splacona_cz,500,76,K,13,1647,0,263,48,0
splacona_cz,500,64,K,13,1932,0,108,48,0
splacona_cz,237.15,55,K,17,864.6,2,8,0,0
splacona_cz,200,78,K,13,1902,0,199,48,0
splacona,400,79,K,13,1186.72,0,267,48,15
windykacja,500,59,M,16,1770,11,95,48,1801
odmowa,0,57,K,13,851.92,0,87,48,0
splacona_cz,300,54,K,12,1200,1,27,23,0
splacona_cz,400,34,K,12,2139,1,132,48,2
splacona_cz,300,28,M,12,2135,0,14,10,0
splacona_cz,400,61,M,16,1865,1,338,48,1
splacona_cz,300,76,K,13,821.35,2,252,48,2
splacona_cz,600,44,K,11,1443,5,39,48,3
splacona_cz,200,26,M,11,1200,0,21,48,8
odmowa,0,70,M,13,1273,0,117,48,0
windykacja_sp,200,52,M,12,1188,1,18,2,147
splacona_cz,1000,48,K,11,5800,10,60,48,2
splacona_cz,561.46,45,M,12,1952.35,0,11,1,2
splacona_cz,500,25,M,11,2327.94,0,41,48,5
splacona_cz,528.13,63,M,13,2533.98,3,21,48,0
splacona_cz,300,31,K,11,1300,0,0,48,1
splacona_cz,389.69,39,M,11,3800,1,15,48,0
splacona_cz,200,66,M,13,1181,1,121,48,7
splacona_cz,300,68,K,13,783,2,159,48,0
splacona,500,69,M,13,1689.98,0,87,48,0
splacona,400,63,K,13,1293,0,159,48,2
odmowa,0,61,M,16,624.26,0,135,48,0
splacona_cz,600,54,K,16,1419,3,35,48,0
splacona_cz,659.6,42,K,98,5000,0,90,48,5
splacona_cz,1000,34,K,11,2200,0,43,48,0
splacona,577.11,61,M,16,1398,1,399,48,9
splacona_cz,292.27,49,K,11,1077.49,5,378,48,0
splacona_cz,800,62,K,13,5100,6,34,48,0
odmowa,0,21,M,12,1056.36,0,59,48,0
splacona_cz,400,60,K,99,900,1,94,48,5
splacona,500,34,K,11,2200,1,17,48,0
