@relation 228046_2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L3-weka.filters.unsupervised.instance.RemoveWithValues-S900.01-C5-Lfirst-last-V-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {M,K}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
12,1042,0,300,49,M,4,0,1
13,1428.55,3,200,66,K,136,48,4
13,1000,0,300,70,K,63,48,0
12,660,3,400,40,K,37,27,2
13,616,3,200,75,K,245,48,6
11,1600,3,496.83,31,K,13,48,4
13,1611,1,300,65,M,140,48,0
13,1684,3,367.31,61,K,18,48,3
13,1500,3,200,58,K,45,48,3
16,1740,0,200,53,K,112,48,1
11,3170,3,400,47,K,284,48,0
13,930,4,700,65,K,129,48,0
12,1574.45,2,426.66,47,M,35,5,0
13,640,0,500,72,K,137,48,1
13,1474.55,2,400,62,K,64,48,0
12,830.46,2,600,47,K,71,48,4
11,1261.98,3,357.31,40,M,35,48,0
13,1189,3,265.58,62,K,68,48,0
16,837,2,350,61,M,230,48,0
17,684,3,900,58,K,209,48,0
13,965,3,200,75,K,244,48,1
16,703,3,200,57,K,24,48,8
99,750,3,200,19,M,5,2,0
12,1675,3,600,54,K,11,3,0
16,1045.6,4,400,54,K,11,48,0
13,1137.19,3,400,66,K,95,48,0
12,1200,3,300,35,K,14,6,0
12,990.34,2,200,46,K,71,48,2
11,2065.98,3,327,52,K,178,48,1
11,800.51,0,400,38,K,18,48,11
13,1817.24,2,400,57,K,17,48,1
13,1239,3,300,77,K,269,48,0
12,1400,2,300,25,M,32,21,1
16,763.38,3,200,57,M,210,48,46
13,997,3,300,61,K,78,48,2
13,1801.41,0,515.96,58,K,36,48,9
12,1030,3,241.15,54,M,24,16,2966
11,1800,3,300,33,M,164,48,1
11,1400,0,300,23,M,23,48,0
11,2100,2,300,45,M,49,48,11
13,1212,3,500,60,K,52,48,1
13,2098,3,700,75,M,196,48,211
12,600,4,400,47,M,27,18,0
11,1400,3,200,49,M,13,48,0
11,3200,3,662.81,52,M,188,48,0
13,1000,3,500,60,K,66,48,0
13,730,2,200,72,K,559,48,1
13,802.83,3,200,65,K,200,48,0
13,3541.9,1,369.53,72,K,126,48,24
11,1290,3,600,32,K,18,48,2
11,3000,4,300,60,M,211,48,2
11,2284.23,1,400,43,M,298,48,2
16,959.6,3,200,69,K,114,48,0
11,1680,3,300,57,K,384,48,2
11,1250,0,500,61,M,64,48,16
11,1000,3,800,60,M,62,48,3
11,1700,3,600,47,K,88,48,6
16,892,2,409.15,65,K,199,48,0
12,1050,2,294.37,52,K,36,3,0
13,1130,3,300,62,K,102,48,0
11,1172.2,3,300.4,56,K,36,48,0
98,5000,2,600,41,K,83,48,5
11,1700,3,300,54,M,38,48,1
13,611,2,300,57,K,138,48,1
11,1320,3,500,53,M,341,48,0
11,2470,4,426.61,49,K,353,48,0
13,12220,2,200,57,M,70,48,4
11,4000,4,400,53,M,9,48,0
16,1132,0,300,64,K,96,48,1
17,985,4,200,20,M,13,0,0
13,2010,2,717.02,64,M,137,48,0
11,2800,3,600,49,K,317,48,1
13,729.03,4,500,70,K,256,48,0
12,700,3,250,40,M,23,15,2963
99,1393.85,2,200,29,M,4,0,6
13,860,0,789.27,63,K,79,48,1
13,1688.82,2,300,46,M,98,48,7
11,1617.68,2,200,52,K,84,48,215
11,1058,0,300,35,M,13,48,0
13,1700,3,500,72,M,13,48,3
11,2927,2,454,38,K,200,48,0
11,2200,0,500,35,M,84,48,12
11,1459,1,300,26,M,8,48,6
13,936,1,500,60,K,30,48,0
13,1090.14,3,400,61,K,74,48,2
16,1600,2,200,67,M,10,48,0
13,1026,4,200,74,K,246,48,0
11,2011,0,416.61,52,M,210,48,13
16,588,0,600,55,M,421,48,2
13,1240,0,300,58,K,69,48,2
13,1170,2,400,61,K,77,48,0
11,1077.49,3,300,48,K,370,48,2
12,1100,0,200,26,K,17,3,4
16,685,0,200,52,K,40,48,0
13,3900,4,300,49,M,29,48,0
13,1350,2,300,65,K,110,48,0
12,1952.35,3,387.31,44,M,11,8,0
11,1300,0,200,53,M,451,48,0
11,1842.86,2,400,56,M,6,48,0
16,1589,0,250,58,K,26,48,0
11,1000,3,275.97,41,K,60,48,14
12,1000,4,200,24,M,24,13,0
13,1217,0,600,65,M,49,48,0
12,1030,0,200,51,M,59,48,3
13,1134.96,0,200,68,K,160,48,0
16,1389,3,200,63,K,90,48,0
12,1375.47,1,300,45,M,8,2,0
13,2051,0,500,63,K,137,48,0
13,1291.18,4,378.91,70,K,78,48,0
13,1691.3,0,500,62,K,72,48,3
17,1031,2,350,53,K,60,48,2959
11,1680,4,586.65,57,K,69,48,2
13,910.33,3,200,73,M,162,48,7
12,2500,2,800,57,M,4,0,0
11,1077,0,200,55,K,182,48,0
11,1700,4,238.78,53,K,204,48,0
11,1373.34,1,200,30,K,57,48,1
11,2837,0,662.69,30,M,125,48,2959
12,1700,4,400,54,K,55,48,0
13,1300,0,300,77,K,192,48,0
11,1800,0,300,57,M,159,48,0
13,850,3,400,66,K,66,48,2
17,1200,4,200,25,K,179,48,0
13,1601.87,0,350,64,M,44,48,6
11,1700,3,500,51,K,304,48,0
11,1400,4,300,43,K,24,48,2
13,910,4,200,66,K,68,48,0
11,2094.17,0,200,53,M,240,48,0
12,1000,1,300,50,M,62,48,1
13,1200.29,1,200,62,K,21,48,0
13,1280,4,400,61,K,16,48,2
11,1286.16,0,300,42,K,116,48,0
13,1216,4,200,66,K,140,48,0
13,1900,4,500,56,M,149,48,5
11,2200,0,200,42,M,42,48,0
16,1770,4,500,58,M,88,48,0
13,722.05,3,200,71,K,196,48,0
16,1235,0,200,70,K,32,48,0
11,1721.7,4,385.97,54,K,119,48,0
11,1800,0,400,51,M,258,48,0
12,1963.88,3,400,44,M,5,0,0
11,3898,0,400,36,M,180,48,0
13,1870,0,300,72,M,84,48,0
13,1239.98,1,300,78,K,254,48,0
12,984.34,3,200,53,K,20,3,4
12,1447,4,500,29,K,23,3,1
13,810,4,300,60,K,32,48,3
11,1730.13,2,400,56,K,192,48,3
11,2709.34,4,322.07,35,K,180,48,0
11,2899.34,0,400,35,K,120,48,0
11,1906.42,2,227.08,60,K,211,48,7
13,1072,4,561.15,69,K,152,48,292
13,1400,0,500,59,K,53,48,385
13,1050,4,600,61,K,138,48,0
11,2700,4,600,30,M,63,48,0
17,728,4,200,27,M,130,48,3
12,1634,2,300,22,K,12,0,3
17,1896,0,500,22,M,33,0,2954
12,1029,0,300,23,M,10,7,2954
11,1566.82,0,200,46,M,348,48,0
13,1820,4,800,61,K,68,48,0
13,907,2,200,70,K,233,48,2
12,1100,1,200,26,M,59,48,9
11,1239.05,1,400,39,K,203,48,6
12,1865,1,200,31,K,21,2,5
98,3000,0,400,52,K,84,48,2
11,2400,3,500,35,K,112,48,4
11,901,3,300,28,K,39,48,387
13,2110,4,300,66,M,100,48,1
13,1015,4,400,64,K,108,48,2952
11,2368.57,2,400,54,K,409,48,0
11,2505,0,300,40,K,163,48,0
17,1100,2,200,56,K,33,7,0
16,1072.89,4,255.49,55,K,121,48,0
99,1100,1,200,53,K,51,48,1
13,1400,0,600,59,K,245,48,1
99,598,0,200,52,K,6,4,0
13,1000,0,200,75,K,210,48,0
13,785,0,200,72,K,63,48,0
13,1900,0,400,75,K,120,48,0
11,2700,4,500,37,K,120,48,0
11,3100,4,500,32,K,120,48,0
11,1800,4,500,49,K,52,48,1
11,1493.98,3,200,47,K,360,48,0
11,932.34,4,200,51,K,394,48,0
11,1443,4,600,43,K,32,48,0
12,1300,3,300,26,K,12,4,2
12,1500,3,300,22,K,4,0,2
98,4000,4,492.01,35,K,18,48,10
16,1362,4,400,53,K,28,48,0
13,1244.77,4,300,58,K,38,48,4
13,1872,4,700,58,K,34,48,2
16,1340,0,200,63,K,160,48,0
13,1573,0,300,67,M,88,48,1
98,2200,4,200,47,K,24,48,0
12,1637,0,300,30,M,107,48,0
13,1668,4,395.77,63,K,90,48,0
13,1107,2,201.4,60,K,14,48,9
12,1048.27,0,200,39,K,19,17,13
13,2282,0,300,61,K,24,48,0
11,1500,0,417,27,K,23,48,133
16,634.64,3,300,57,K,135,48,0
11,2327.94,0,500,24,M,34,48,0
11,2050,4,575.74,32,M,117,48,10
98,911,4,300,46,K,97,48,1
13,992.96,0,200,61,K,11,48,0
11,1000,4,300,30,M,56,48,1
13,865,4,200,70,K,127,48,0
11,2100,1,300,54,M,37,48,2
11,992.84,4,300,49,K,120,48,0
99,780,0,200,57,K,3,2,0
11,2100,3,500,60,M,186,48,0
13,1370,3,600,59,K,75,48,0
13,1500,4,371.45,61,M,22,48,1
12,980,4,200,31,K,10,1,4
11,1300,1,600,54,K,67,48,19
11,1700,3,500,36,K,196,48,69
13,1310,0,500,61,K,77,48,5
16,1045,3,200,50,M,198,48,3
12,1540,1,600,33,K,39,1,5
11,983.97,2,200,57,K,77,48,5
12,1038.68,0,300,46,K,26,6,0
12,1032,4,295.24,46,K,40,3,4
11,3300,0,300,44,M,236,48,0
13,815,1,400,67,K,143,48,0
11,1400,4,246.99,52,K,160,48,0
12,1521,0,200,30,M,30,11,0
11,980.11,1,400,34,K,44,48,6
12,1800,0,300,26,M,144,48,0
17,990,0,500,50,K,85,48,0
11,2600,0,400,64,M,134,48,0
11,1460.17,1,200,55,M,60,48,11
13,2000,4,450,68,M,44,48,12
16,1151,0,500,66,M,360,48,311
16,1473.04,1,400,65,M,164,48,0
13,720,1,500,58,K,231,48,101
16,749.28,4,200,53,K,64,48,0
13,1420,0,300,70,M,52,48,4
11,2500,0,895.59,47,M,203,48,4
11,1400,0,300,52,K,160,48,0
13,962,0,500,62,K,64,48,3
13,1426,4,300,71,M,76,48,0
13,1100,1,300,63,K,104,48,0
11,967.64,3,200,48,K,318,48,0
13,3700,4,700,62,K,26,48,0
13,1772.53,1,300,71,M,279,48,4
13,1016,0,300,70,K,188,48,0
11,2947,4,348.19,59,M,52,48,2945
16,980,4,407.31,68,K,130,48,9
13,1362,4,500,61,K,55,48,14
13,2100,1,300,72,K,159,48,282
13,1900,4,500,62,K,87,48,0
12,1000,4,328,60,M,14,2,0
12,1000,4,328.32,50,K,34,3,0
11,1770,4,277.34,39,K,86,48,2
11,2249.14,0,500,57,K,240,48,155
13,1519,1,350,78,M,253,48,0
11,2080,0,500,53,M,318,48,0
17,1079,0,200,49,K,38,9,0
98,980,3,200,56,K,9,48,0
11,1577.42,1,400,50,K,205,48,23
13,2066,4,700,61,K,129,48,2
13,580,4,800,56,K,119,48,2945
11,3200,4,600,51,K,53,48,0
12,670,4,300,45,M,11,2,0
11,1400,4,200,54,K,116,48,2
11,1300,4,200,39,M,45,48,0
98,1200,4,284.19,38,K,45,48,2
11,900,4,300,46,K,93,48,1
16,634,3,200,58,K,51,48,0
13,1026,4,200,74,K,247,48,1
13,1658,4,296,59,K,29,48,0
13,803.86,4,200,68,K,157,48,1
99,2290.55,1,250,42,K,20,2,0
13,562,0,300,71,M,81,48,1
13,1287.66,3,200,63,M,96,48,0
11,1300,0,400,53,K,34,48,265
11,1360,0,300,46,M,119,48,0
13,670,0,200,65,K,66,48,0
11,2050,0,799.85,33,K,28,48,7
16,1411,1,400,60,K,66,48,2
12,599.03,3,200,37,K,21,2,0
13,1233,3,300,63,K,123,48,0
13,3440,4,800,55,K,51,48,0
13,1185.33,4,200,71,K,224,48,1
13,3040,0,659.87,65,M,201,48,1
13,1500,0,400,60,K,60,48,0
12,1032.34,4,200,31,K,11,6,7
13,1635,4,200,60,K,119,48,1
13,975,4,218.32,61,K,27,48,7
11,2200,0,900,33,K,37,48,0
13,1977,2,700,61,K,54,48,0
13,960,4,315.49,73,M,139,48,6
13,1162,4,200,62,M,221,48,1
16,2300,5,700,55,K,62,48,0
12,1500,1,800,35,M,35,2,10
11,1888.27,0,375.81,29,M,77,48,10
13,917,2,300,63,K,76,48,0
11,1344.9,3,216.24,45,K,45,48,0
16,1313.41,4,400,62,M,27,48,4
13,866.46,1,200,73,K,195,48,0
11,2800,4,400,54,K,59,48,1
11,2470,1,495.15,38,M,66,48,2
11,2000,0,600,46,M,51,48,0
13,1503,0,350,61,M,165,48,12
12,1100,4,235.97,65,M,35,13,5
13,2120,4,600,68,K,118,48,0
13,1200,4,500,70,K,118,48,9
13,1013.74,4,460,65,K,113,48,2
11,1500,3,400,58,K,85,48,3
17,547.89,1,350,56,K,58,48,4
13,1031,0,300,66,K,121,48,0
13,930,5,700,65,K,130,48,3
12,2673.17,4,600,51,M,162,48,3
13,930,1,670,63,K,93,48,3
13,714,5,400,62,K,222,48,0
13,840,2,400,64,K,113,48,0
11,2700,4,423.23,31,M,15,48,2
12,1350,4,200,55,K,24,2,3
12,1009.34,3,300,55,K,67,48,2938
13,1611,2,200,65,M,141,48,0
11,2500,0,500,49,K,233,48,0
12,1300,4,600,29,M,41,14,315
17,798.8,4,300,54,M,150,48,2938
13,1000,1,300,70,K,64,48,0
12,1042,1,300,49,M,11,6,351
12,1027,4,300,39,K,59,48,3
11,3000,4,250,45,K,93,48,3
12,1200,4,300,35,K,14,5,5
13,1137.19,4,400,66,K,96,48,5
13,1027,0,300,68,K,192,48,0
13,802.83,4,200,65,K,201,48,1
13,1239,4,400,77,K,270,48,5
13,720.19,2,200,67,K,93,48,1
11,2250.05,2,500,61,M,176,48,380
12,600,5,400,47,M,27,17,1
11,3300,1,300,44,M,236,48,0
13,1150,0,300,75,M,138,48,16
13,1189,4,265.58,62,K,69,48,1
12,1574.45,3,417.8,47,M,35,4,0
11,1320,4,500,53,M,342,48,1
11,3170,4,400,47,K,285,48,189
11,1261.98,4,357.31,40,M,36,48,5
16,837,3,350,61,M,231,48,0
17,684,4,900,58,K,209,48,0
11,3200,4,606.35,52,M,189,48,0
13,1474.55,3,400,62,K,65,48,1
13,951,4,500,73,K,162,48,5
12,660,4,400,40,K,37,26,5
16,1045.6,5,400,54,K,12,48,1
12,1675,4,600,54,K,11,2,0
16,1600,0,200,63,K,23,48,0
11,1800,4,300,33,M,165,48,0
12,1400,3,300,25,M,32,20,15
13,1817.24,3,400,57,K,18,48,0
16,1740,1,200,53,K,113,48,0
13,640,1,500,72,K,138,48,4
13,965,4,200,75,K,245,48,13
11,1800,0,600,39,K,51,48,12
13,1212,4,500,60,K,53,48,0
13,1684,4,367.31,61,K,20,48,8
13,2010,0,407.1,64,M,137,48,0
11,2065.98,4,327,52,K,179,48,19
13,1000,4,500,60,K,67,48,4
11,2927,3,449.33,38,K,201,48,2
11,1400,0,200,23,M,24,48,0
11,1600,4,496.83,31,K,14,48,48
16,959.6,4,200,69,K,115,48,0
13,1170,3,400,61,K,78,48,0
11,1172.2,4,200,56,K,37,48,2
16,892,3,321.21,65,K,200,48,0
17,864.6,0,250,54,K,7,5,2
13,1130,4,300,62,K,103,48,3
12,990.34,3,200,46,K,71,48,3
12,1050,3,286.94,52,K,36,2,2
13,997,4,300,61,K,79,48,0
13,1428.55,4,200,66,K,137,48,4
11,1900,0,693.7,38,K,207,48,0
13,1300,1,300,77,K,193,48,0
13,730,3,200,72,K,560,48,3
13,1217,1,600,65,M,50,48,0
11,2470,5,426.61,49,K,354,48,2
99,598,1,200,52,K,6,3,3
11,1700,4,300,54,M,39,48,4
16,1589,0,400,58,K,27,48,3
13,1530,0,500,57,K,24,48,0
11,4000,5,400,53,M,10,48,3
17,985,5,200,20,M,17,4,4
13,729.03,5,500,70,K,257,48,0
13,611,3,300,57,K,139,48,1
11,3000,5,300,60,M,212,48,3
11,1290,4,600,32,K,19,48,0
13,1014,0,297.69,63,K,183,48,9
12,830.46,3,600,47,K,71,48,4
16,1132,1,300,64,K,97,48,0
13,616,4,200,75,K,246,48,0
12,952.89,0,300,21,M,26,3,0
13,3900,5,300,49,M,30,48,0
13,1350,3,300,65,K,111,48,0
98,2000,0,200,31,M,14,48,0
13,936,2,500,60,K,31,48,0
98,3178,0,388.45,43,M,201,48,11
12,1952.35,4,371.01,44,M,11,7,0
11,1680,4,300,57,K,385,48,2
11,2800,4,600,49,K,318,48,0
13,860,1,783.61,63,K,80,48,9
11,1000,4,800,60,M,63,48,0
11,1842.86,3,400,56,M,7,48,1
13,1210,0,300,65,K,138,48,2
13,2051,1,500,63,K,138,48,0
12,1000,5,200,24,M,24,12,1
13,1026,5,200,74,K,247,48,1
11,1700,4,250,51,K,305,48,5
98,5000,0,600,41,K,84,48,1
11,1077,1,200,55,K,183,48,0
12,1375.47,2,300,45,M,8,1,0
16,588,1,600,55,M,422,48,8
16,685,0,200,52,K,41,48,0
13,1240,1,300,58,K,70,48,0
13,1090.14,4,400,61,K,75,48,0
11,1077.49,4,300,48,K,371,48,9
13,12220,3,200,57,M,71,48,3
13,1134.96,1,200,68,K,161,48,1
11,1286.16,1,300,42,K,117,48,0
16,1389,4,200,63,K,91,48,0
12,2500,3,800,57,M,10,5,0
13,1291.18,5,378.91,70,K,79,48,0
17,1200,5,200,25,K,179,48,5
12,1700,5,400,54,K,55,48,0
11,1700,5,200,53,K,205,48,2
11,2700,0,400,30,M,64,48,5
13,1700,4,500,72,M,14,48,0
11,1700,4,600,47,K,89,48,6
13,1295.37,0,300,71,M,307,48,0
11,1400,0,300,49,M,14,48,9
11,1300,0,300,53,M,452,48,0
11,1373.34,2,200,30,K,58,48,270
16,703,4,200,57,K,26,48,0
13,910,5,200,66,K,69,48,0
12,1100,1,200,26,K,17,2,4
12,3000,0,700,37,M,10,2,20
11,2094.17,1,200,53,M,241,48,0
11,2899.34,1,300,35,K,121,48,0
13,722.05,4,200,71,K,197,48,0
13,1801.41,0,515.96,58,K,37,48,6
13,1870,0,400,72,M,85,48,0
16,1770,5,500,58,M,89,48,0
11,1037.34,0,200,41,K,61,48,2927
13,1149.06,0,397.31,60,K,161,48,263
13,850,4,400,66,K,67,48,3
99,1393.85,3,200,29,M,5,0,4
12,1500,0,300,21,M,8,1,0
13,1216,5,200,66,K,141,48,75
98,1357,0,300,48,K,1,48,0
12,1000,2,300,50,M,62,48,0
13,1239.98,2,300,78,K,255,48,0
11,1721.7,5,345.97,54,K,120,48,0
11,3898,0,500,36,M,181,48,3
13,1691.3,1,500,62,K,73,48,13
13,3900,0,400,59,M,114,48,2
11,1459,2,300,26,M,9,48,7
11,1566.82,1,200,46,M,349,48,0
11,2709.34,5,314.83,35,K,181,48,3
11,1800,1,400,51,M,259,48,0
13,1688.82,3,298.74,46,M,99,48,2924
13,785,1,200,72,K,64,48,0
13,1050,5,600,61,K,139,48,0
12,1952.35,0,500,44,M,11,7,1
11,980,0,400,48,K,200,48,0
11,1087,0,370,40,K,238,48,234
13,714,0,200,62,K,222,48,0
11,2261,0,500,33,M,51,48,2924
11,1792,0,500,35,K,61,48,2924
12,1963.88,4,400,44,M,6,0,4
13,1280,5,290,61,K,17,48,0
11,800.51,0,250,38,K,20,48,1
13,1525.46,0,300,62,K,36,48,9
11,2100,0,300,45,M,50,48,0
16,1600,1,200,63,K,24,48,0
12,1447,5,500,29,K,23,2,3
13,2282,1,300,61,K,25,48,0
11,2368.57,3,399.72,54,K,410,48,15
13,907,3,200,70,K,234,48,2
11,932.34,5,200,51,K,395,48,0
13,810,5,300,60,K,33,48,1
11,2505,1,200,40,K,164,48,0
11,1493.98,4,200,47,K,361,48,0
11,1730.13,3,400,56,K,193,48,0
13,1425,0,400,60,K,79,48,0
13,910.33,4,200,73,M,163,48,0
13,1180,0,300,74,M,140,48,0
98,1256,0,400,35,M,69,48,0
13,1442.43,0,300,79,K,141,48,0
17,1100,3,200,56,K,33,6,2
98,3000,1,400,52,K,85,48,0
11,3178.76,0,700,37,K,121,48,0
11,3100,0,700,32,K,121,48,0
13,1900,1,400,75,K,121,48,1
11,1443,5,600,43,K,33,48,0
12,1521,1,200,30,M,30,10,0
16,1090,0,400,59,K,77,48,294
13,1900,5,500,56,M,150,48,0
17,728,5,200,27,M,130,48,0
12,984.34,4,200,53,K,20,2,6
13,2110,5,300,66,M,101,48,1
11,1800,5,500,49,K,53,48,0
13,1573,0,300,67,M,89,48,12
99,1100,2,200,53,K,52,48,1
13,1601.87,1,349.66,64,M,45,48,1
16,634.64,4,300,57,K,136,48,4
12,1634,3,297.86,22,K,15,2,12
13,2112,0,500,73,M,98,48,322
13,5100,0,800,61,K,28,48,0
16,2100,0,250,57,K,39,48,4
12,1210,0,200,52,M,9,2,14
12,1500,4,300,22,K,5,0,3
12,1300,4,300,26,K,12,3,4
13,1026,4,200,60,K,55,48,3
13,1400,0,700,59,K,246,48,0
13,1536,0,500,74,K,36,48,4
13,1668,5,395.77,63,K,91,48,1
13,1872,5,700,58,K,35,48,3
11,2327.94,1,500,24,M,35,48,5
13,865,5,200,70,K,128,48,1
11,2400,4,500,35,K,113,48,3
11,992.84,5,300,49,K,121,48,0
13,992.96,1,200,61,K,12,48,0
11,1000,5,300,30,M,57,48,0
12,1000,0,300,54,K,69,48,0
98,911,5,300,46,K,98,48,2
12,1865,2,200,31,K,21,1,11
11,2100,4,500,60,M,187,48,0
13,984,0,200,61,K,11,48,0
99,780,1,200,57,K,3,1,0
13,815,0,500,67,K,144,48,7
11,1058,0,400,35,M,14,48,0
13,1244.77,5,300,58,K,39,48,14
11,2011,0,416.61,52,M,211,48,0
12,1038.68,1,300,46,K,26,5,0
13,1519,0,650,78,M,254,48,0
16,749.28,5,200,53,K,65,48,3
11,1239.05,2,399.66,39,K,204,48,8
13,1500,5,347.63,61,M,23,48,7
11,1250,0,479.15,61,M,65,48,4
11,2100,2,292.57,54,M,38,48,2
13,1167.94,0,300,79,K,369,48,1
11,1000,0,275.97,41,K,61,48,4
17,990,1,500,50,K,85,48,2
11,1300,5,200,39,M,45,48,0
11,2080,1,500,53,M,318,48,2
16,1045,4,200,50,M,199,48,0
16,1473.04,2,400,65,M,165,48,1
13,1426,5,300,71,M,77,48,0
98,980,4,200,56,K,10,48,0
11,1400,1,299.28,52,K,161,48,0
12,670,5,300,45,M,11,2,0
11,1360,1,300,46,M,120,48,0
12,1100,0,200,26,M,59,48,0
12,980,5,200,31,K,15,4,1
13,1100,2,300,63,K,105,48,0
11,967.64,4,200,48,K,319,48,302
11,1600,0,300,48,M,342,48,10
12,1000,5,400,50,K,34,2,2
12,1000,5,400,60,M,14,1,2
13,3700,5,582,62,K,27,48,0
11,3200,5,600,51,K,54,48,6
13,1031,1,300,66,K,122,48,0
13,2066,5,700,61,K,130,48,3
13,1310,1,500,61,K,79,48,0
13,1287.66,4,200,63,M,97,48,0
13,1658,5,286.39,59,K,30,48,3
16,634,4,200,58,K,52,48,0
11,1540,2,600,33,K,39,48,4
11,1400,5,200,54,K,117,48,1
13,1233,4,200,63,K,124,48,0
11,983.97,3,200,57,K,78,48,10
99,2290.55,2,250,42,K,20,1,0
12,1032,5,286.13,46,K,40,1,0
13,866.46,2,200,73,K,196,48,4
12,599.03,4,200,37,K,21,1,8
13,1977,3,700,61,K,55,48,18
13,670,1,200,65,K,67,48,7
13,803.86,5,200,68,K,158,48,0
13,562,1,300,71,M,82,48,5
13,1026,5,200,74,K,248,48,0
11,900,5,300,46,K,94,48,2
13,3440,5,800,55,K,52,48,2
16,2150,0,300,50,M,82,48,0
13,1500,1,400,60,K,61,48,0
13,1083.23,0,200,58,K,98,48,3
13,1300,2,300,77,K,194,48,0
13,962,1,500,62,K,66,48,12
11,2800,0,300,55,K,10,48,0
98,4000,5,465.37,35,K,19,48,9
11,1850,0,500,35,M,56,48,3
16,2300,6,600,55,K,63,48,0
11,2100,0,600,27,K,23,48,0
13,1420,1,300,70,M,53,48,0
11,1344.9,4,200,45,K,46,48,2
13,1107,0,200.56,60,K,15,48,0
13,1772.53,2,300,71,M,281,48,2
11,980.11,2,400,34,K,45,48,8
13,3040,1,622.85,65,M,202,48,0
16,1235,0,300,70,K,34,48,0
15,1100.79,0,300,62,M,91,48,0
13,1162,5,200,62,M,222,48,0
13,1635,5,200,60,K,120,48,0
13,917,3,300,63,K,77,48,4
13,1019,0,300,68,K,133,48,0
16,1411,2,400,60,K,67,48,1
98,1200,5,284.19,38,K,46,48,0
12,1800,0,300,29,M,6,1,0
16,1500,0,300,54,K,2,48,0
13,2120,0,800,68,K,119,48,0
11,1738.57,0,300,43,K,58,48,3
12,1030,0,300,51,M,59,48,2910
11,2800,5,300,54,K,60,48,0
11,2050,0,530,32,M,118,48,7
13,1000,2,300,70,K,65,48,0
11,2284.23,0,200,43,M,300,48,0
13,2031,0,400,58,M,159,48,2908
13,1700,0,200,72,M,15,48,7
98,4293,0,400,51,M,178,48,0
11,3641,0,200,53,K,144,48,0
13,714,6,399.72,62,K,223,48,0
13,1000,0,250,75,K,212,48,0
13,1013.74,5,460,65,K,114,48,1
13,840,3,400,64,K,114,48,2
13,1530,0,800,57,K,25,48,0
11,2470,2,495.15,38,M,67,48,5
11,2500,1,500,49,K,234,48,0
12,1048.27,0,200,39,K,19,15,4
16,1313.41,5,200,62,M,28,48,229
16,837,4,350,61,M,232,48,0
11,1500,4,400,58,K,86,48,0
11,3300,2,300,44,M,237,48,0
13,960,5,315.49,73,M,140,48,0
11,2700,5,423.23,31,M,16,48,7
12,1574.45,4,365.96,47,M,35,3,6
17,547.89,2,350,56,K,58,48,2906
13,1027,1,300,68,K,193,48,0
11,2050,1,799.85,33,K,29,48,2906
13,1817.24,4,400,57,K,19,48,3
16,980,5,407.31,68,K,131,48,0
11,3200,5,593.94,52,M,190,48,0
11,2200,0,300,33,K,11,48,0
12,1675,5,550,54,K,11,1,3
16,1389,0,300,63,K,92,48,0
17,684,5,900,58,K,209,48,0
11,1460.17,2,200,55,M,62,48,1
13,930,2,670,63,K,94,48,0
12,1100,5,235.97,65,M,35,12,0
13,729.03,6,450,70,K,258,48,0
13,930,6,700,65,K,131,48,0
13,975,5,200,61,K,28,48,0
12,600,6,399.72,47,M,27,16,0
11,1320,5,500,53,M,343,48,0
13,1170,4,389.72,61,K,79,48,0
12,1032.34,5,200,31,K,11,5,11
16,959.6,5,200,69,K,116,48,5
13,720.19,3,200,67,K,94,48,0
13,1212,5,500,60,K,54,48,0
16,1740,2,200,53,K,114,48,0
11,1900,1,693.7,38,K,208,48,3
13,1474.55,4,400,62,K,66,48,6
13,1213,0,400,53,K,50,48,2
16,1045.6,6,339.72,54,K,13,48,0
11,1800,5,300,33,M,166,48,2
12,1027,5,300,39,K,59,48,0
11,2000,0,400,59,M,70,48,0
13,997,5,200,61,K,80,48,0
12,1350,5,200,55,K,24,1,2
13,1189,5,265.58,62,K,70,48,0
13,2000,0,563.44,68,M,45,48,10
13,1362,5,500,61,K,57,48,1
12,1500,2,800,35,M,35,1,1
11,2105,0,500,44,K,24,48,2901
16,1132,2,300,64,K,98,48,13
13,1295.37,1,300,71,M,308,48,0
13,936,3,300,60,K,32,48,0
11,1888.27,0,375.81,29,M,78,48,3
11,1290,5,600,32,K,20,48,5
11,2470,6,426.61,49,K,355,48,0
13,616,5,200,75,K,247,48,3
11,2800,5,600,49,K,319,48,1
13,640,2,500,72,K,139,48,0
13,1137.19,5,400,66,K,97,48,0
11,1172.2,5,200,56,K,38,48,0
13,951,5,500,73,K,163,48,15
98,3014,0,500,42,M,103,48,6
13,3900,6,300,49,M,31,48,0
13,1800,0,450,69,K,118,48,0
17,864.6,1,250,54,K,7,4,0
12,1200,5,300,35,K,14,4,0
12,660,5,441.27,40,K,37,25,6
12,1050,4,283.31,52,K,36,1,0
11,1400,0,400,51,M,39,48,9
13,1559,0,250,65,M,72,48,0
12,952.89,1,300,21,M,26,2,8
