@relation '228046_2-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N2:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-Nstatus pozyczki:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-Nstatus pozyczki:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz:dobry,splacona:dobry1-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nodmowa:zly,windykacja:zly1,windykacja_sp:zly2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lzly-R1-3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6'

@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {M,K}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
11,2100,2,300,'\'(30.4-42.8]\'',M,61,48,dobry
16,980,2,400,'\'(67.6-inf)\'',K,128,48,dobry
11,960,0,400,'\'(30.4-42.8]\'',K,4,48,zly
11,1400,1,412.72,'\'(30.4-42.8]\'',K,98,48,dobry
11,1900,2,694,'\'(30.4-42.8]\'',K,205,48,dobry
12,950,1,200,'\'(30.4-42.8]\'',M,15,10,zly
12,1000,2,328,'\'(55.2-67.6]\'',M,10,1,dobry
12,1000,2,328.32,'\'(42.8-55.2]\'',K,29,0,dobry
13,1900,2,500,'\'(55.2-67.6]\'',K,85,48,dobry
11,3335,2,600,'\'(55.2-67.6]\'',M,430,48,dobry
11,1087,1,377.69,'\'(30.4-42.8]\'',K,235,48,dobry
16,639.31,0,300,'\'(42.8-55.2]\'',M,246,48,zly
13,2066,2,700,'\'(55.2-67.6]\'',K,126,48,dobry
13,975,2,253.12,'\'(55.2-67.6]\'',K,24,48,dobry
11,2424.72,0,1000,'\'(30.4-42.8]\'',M,64,48,zly
11,2094.17,0,500,'\'(42.8-55.2]\'',M,238,48,zly
11,2575.31,0,1000,'\'(42.8-55.2]\'',K,190,48,zly
11,2250.05,0,500,'\'(55.2-67.6]\'',M,173,48,dobry
12,1100,2,300,'\'(55.2-67.6]\'',M,35,16,dobry
13,1977,0,700,'\'(55.2-67.6]\'',K,52,48,dobry
11,993.48,0,200,'\'(30.4-42.8]\'',K,162,48,zly
13,1134.96,2,200,'\'(67.6-inf)\'',K,159,48,dobry
13,1287.66,1,200,'\'(55.2-67.6]\'',M,94,48,dobry
13,1538,2,200,'\'(55.2-67.6]\'',M,98,48,dobry
13,1426,2,300,'\'(67.6-inf)\'',M,75,48,dobry
12,1200,0,200,'\'(55.2-67.6]\'',M,23,23,zly
98,980,1,300,'\'(55.2-67.6]\'',K,7,48,dobry
12,670,2,300,'\'(42.8-55.2]\'',M,11,4,dobry
98,3178,2,500,'\'(42.8-55.2]\'',M,199,48,dobry
13,1801.41,2,517.26,'\'(55.2-67.6]\'',K,35,48,dobry
11,2875.71,2,1100,'\'(30.4-42.8]\'',M,275,48,dobry
12,1030,0,300,'\'(30.4-42.8]\'',K,23,4,zly
13,1026,2,200,'\'(67.6-inf)\'',K,245,48,dobry
13,1185.33,2,200,'\'(67.6-inf)\'',K,222,48,dobry
11,2200,0,900,'\'(30.4-42.8]\'',K,35,48,dobry
13,957.2,1,200,'\'(67.6-inf)\'',M,195,48,dobry
13,815,1,336.83,'\'(55.2-67.6]\'',K,142,48,dobry
13,840,0,400,'\'(55.2-67.6]\'',K,111,48,dobry
13,933.05,0,300,'\'(55.2-67.6]\'',K,83,48,zly
16,1820,0,1000,'\'(55.2-67.6]\'',K,23,48,zly
98,1200,2,285.97,'\'(30.4-42.8]\'',K,43,48,dobry
12,1032.34,2,200,'\'(30.4-42.8]\'',K,11,8,dobry
11,1510.08,0,1000,'\'(-inf-30.4]\'',M,14,48,zly
12,1027,2,300,'\'(30.4-42.8]\'',K,59,48,dobry
11,1770,2,277.34,'\'(30.4-42.8]\'',K,84,48,dobry
13,3700,2,800,'\'(55.2-67.6]\'',K,24,48,dobry
11,1032,0,200,'\'(-inf-30.4]\'',M,24,48,zly
11,3500,2,400,'\'(30.4-42.8]\'',M,25,48,dobry
11,1400,2,200,'\'(42.8-55.2]\'',K,114,48,dobry
11,763,2,300,'\'(42.8-55.2]\'',K,91,48,dobry
13,1083.23,0,200,'\'(55.2-67.6]\'',K,95,48,dobry
13,1272,1,500,'\'(55.2-67.6]\'',M,14,48,dobry
99,685,2,250,'\'(55.2-67.6]\'',M,3,0,dobry
13,1519,0,200,'\'(67.6-inf)\'',M,251,48,dobry
13,803.86,2,200,'\'(67.6-inf)\'',K,155,48,dobry
12,1743,0,800,'\'(30.4-42.8]\'',M,16,4,zly
12,961,0,500,'\'(55.2-67.6]\'',M,80,48,zly
13,1193.65,1,400,'\'(55.2-67.6]\'',M,7,48,dobry
11,1566.82,0,200,'\'(42.8-55.2]\'',M,347,48,dobry
12,1032.34,0,500,'\'(-inf-30.4]\'',M,31,16,zly
13,1031,0,200,'\'(55.2-67.6]\'',K,119,48,dobry
13,1149.06,1,400,'\'(55.2-67.6]\'',K,159,48,dobry
13,1412,2,400,'\'(67.6-inf)\'',K,201,48,dobry
13,1591,2,381.29,'\'(55.2-67.6]\'',M,74,48,dobry
16,755.1,1,200,'\'(55.2-67.6]\'',K,132,48,dobry
11,2065.98,2,327,'\'(42.8-55.2]\'',K,176,48,dobry
12,1400,1,300,'\'(-inf-30.4]\'',M,23,16,dobry
12,1500,0,800,'\'(30.4-42.8]\'',M,35,4,dobry
13,860,2,789.27,'\'(55.2-67.6]\'',K,77,48,dobry
11,1079,0,300,'\'(42.8-55.2]\'',K,175,48,zly
11,2800,2,400,'\'(42.8-55.2]\'',K,57,48,dobry
13,1167.94,0,200,'\'(67.6-inf)\'',K,367,48,dobry
13,2802,2,700,'\'(67.6-inf)\'',M,245,48,dobry
16,1045,1,200,'\'(42.8-55.2]\'',M,197,48,dobry
17,1485,2,500,'\'(55.2-67.6]\'',M,186,48,zly
12,1035,0,200,'\'(-inf-30.4]\'',M,2,0,zly
11,1300,2,300,'\'(30.4-42.8]\'',M,43,48,dobry
12,1792,0,800,'\'(42.8-55.2]\'',K,157,48,zly
13,1162,2,200,'\'(55.2-67.6]\'',M,219,48,dobry
13,1094,1,300,'\'(55.2-67.6]\'',K,182,48,dobry
13,1635,2,200,'\'(55.2-67.6]\'',K,117,48,dobry
98,30000,0,1000,'\'(30.4-42.8]\'',M,72,48,zly
11,1033.52,0,300,'\'(30.4-42.8]\'',K,75,48,zly
13,917,0,300,'\'(55.2-67.6]\'',K,74,48,dobry
13,2120,2,600,'\'(67.6-inf)\'',K,116,48,dobry
13,985.9,0,200,'\'(55.2-67.6]\'',K,88,48,dobry
16,1313.41,2,400,'\'(55.2-67.6]\'',M,25,48,dobry
13,1233,1,400,'\'(55.2-67.6]\'',K,121,48,dobry
13,1611,0,300,'\'(55.2-67.6]\'',M,139,48,dobry
13,819,0,200,'\'(55.2-67.6]\'',M,55,48,dobry
13,714,3,500,'\'(55.2-67.6]\'',K,220,48,dobry
11,3000,2,500,'\'(42.8-55.2]\'',K,91,48,dobry
13,919,2,470.41,'\'(55.2-67.6]\'',K,139,48,zly
98,5000,1,600,'\'(30.4-42.8]\'',K,82,48,dobry
12,700,2,250,'\'(30.4-42.8]\'',M,23,16,dobry
13,951,2,500,'\'(67.6-inf)\'',K,160,48,dobry
13,1013.74,2,400,'\'(55.2-67.6]\'',K,111,48,dobry
11,1500,1,400,'\'(55.2-67.6]\'',K,83,48,dobry
13,1145.25,0,200,'\'(55.2-67.6]\'',K,21,48,zly
11,1200,2,300,'\'(30.4-42.8]\'',K,188,48,zly
13,1525.46,2,521.49,'\'(55.2-67.6]\'',K,34,48,dobry
13,5100,2,700,'\'(55.2-67.6]\'',K,26,48,dobry
11,2327.94,0,200,'\'(-inf-30.4]\'',M,32,48,dobry
12,1030,2,241.15,'\'(42.8-55.2]\'',M,24,17,dobry
11,2000,0,600,'\'(42.8-55.2]\'',M,49,48,dobry
16,2300,3,900,'\'(42.8-55.2]\'',K,60,48,dobry
11,1796,0,400,'\'(42.8-55.2]\'',K,311,48,zly
12,660,2,400,'\'(30.4-42.8]\'',K,37,28,dobry
12,1009.34,1,300,'\'(42.8-55.2]\'',K,67,48,dobry
12,1030,2,200,'\'(42.8-55.2]\'',M,59,48,dobry
12,1600,0,400,'\'(55.2-67.6]\'',M,60,48,dobry
13,1425,0,400,'\'(55.2-67.6]\'',K,77,48,dobry
12,1350,2,281.29,'\'(42.8-55.2]\'',K,24,4,dobry
12,1000,3,200,'\'(-inf-30.4]\'',M,24,15,dobry
12,1675,2,600,'\'(42.8-55.2]\'',K,11,4,dobry
13,717.96,0,500,'\'(55.2-67.6]\'',K,79,48,zly
12,1800,2,700,'\'(-inf-30.4]\'',M,8,0,dobry
12,1227,0,300,'\'(-inf-30.4]\'',M,12,11,zly
13,856,2,200,'\'(55.2-67.6]\'',K,55,48,dobry
11,2700,1,300,'\'(30.4-42.8]\'',M,7,48,dobry
13,1300,1,300,'\'(55.2-67.6]\'',M,76,48,zly
13,1684,2,400,'\'(55.2-67.6]\'',K,17,48,dobry
11,1800,0,200,'\'(55.2-67.6]\'',M,158,48,dobry
12,1600,2,498.47,'\'(30.4-42.8]\'',K,12,0,dobry
13,616,2,200,'\'(67.6-inf)\'',K,244,48,dobry
12,900,0,300,'\'(55.2-67.6]\'',M,7,1,zly
13,984,1,200,'\'(55.2-67.6]\'',K,8,48,dobry
13,1650,0,700,'\'(55.2-67.6]\'',K,126,48,zly
11,1000,2,275.97,'\'(30.4-42.8]\'',K,59,48,dobry
11,2324,0,400,'\'(42.8-55.2]\'',M,42,48,zly
12,1574.45,1,445.67,'\'(42.8-55.2]\'',M,35,6,dobry
11,1700,2,300,'\'(42.8-55.2]\'',M,37,48,dobry
12,830.46,1,600,'\'(42.8-55.2]\'',K,71,48,dobry
16,634,1,200,'\'(55.2-67.6]\'',K,49,48,dobry
13,1160,0,200,'\'(67.6-inf)\'',K,209,48,dobry
13,1500,2,200,'\'(55.2-67.6]\'',K,44,48,dobry
16,633.56,2,250,'\'(55.2-67.6]\'',M,109,48,zly
13,910.33,2,200,'\'(67.6-inf)\'',M,161,48,dobry
11,2139,0,500,'\'(42.8-55.2]\'',K,83,48,zly
11,1433,0,400,'\'(30.4-42.8]\'',K,158,48,zly
12,2000,2,227.13,'\'(42.8-55.2]\'',K,25,18,dobry
16,703,2,200,'\'(55.2-67.6]\'',K,23,48,dobry
17,684,2,900,'\'(55.2-67.6]\'',K,209,48,dobry
12,1200,0,300,'\'(-inf-30.4]\'',M,23,20,zly
99,761,0,400,'\'(30.4-42.8]\'',M,12,11,zly
13,640,0,500,'\'(67.6-inf)\'',K,136,48,dobry
13,3519,0,1000,'\'(55.2-67.6]\'',M,107,48,zly
13,965,2,200,'\'(67.6-inf)\'',K,243,48,dobry
11,2353,2,1569.98,'\'(42.8-55.2]\'',M,97,48,dobry
13,802.83,2,200,'\'(55.2-67.6]\'',K,199,48,dobry
13,1137.19,2,400,'\'(55.2-67.6]\'',K,94,48,dobry
11,1000,2,800,'\'(55.2-67.6]\'',M,61,48,dobry
13,2421.55,2,1000,'\'(67.6-inf)\'',K,243,48,dobry
13,3600,1,1000,'\'(55.2-67.6]\'',M,84,48,dobry
13,1601.87,1,350,'\'(55.2-67.6]\'',M,43,48,dobry
13,1239,2,300,'\'(67.6-inf)\'',K,268,48,dobry
11,2215,0,900,'\'(30.4-42.8]\'',M,203,48,zly
13,1100,1,200,'\'(55.2-67.6]\'',K,41,48,dobry
11,950,0,500,'\'(30.4-42.8]\'',K,177,48,zly
11,1261.98,2,400,'\'(30.4-42.8]\'',M,34,48,dobry
16,1138.01,0,300,'\'(67.6-inf)\'',K,4,48,zly
16,837,1,350,'\'(55.2-67.6]\'',M,229,48,dobry
12,990.34,1,200,'\'(42.8-55.2]\'',K,71,48,dobry
13,930,3,800,'\'(55.2-67.6]\'',K,128,48,dobry
11,3170,2,400,'\'(42.8-55.2]\'',K,283,48,dobry
12,600,3,400,'\'(42.8-55.2]\'',M,27,19,dobry
11,1459,0,300,'\'(-inf-30.4]\'',M,7,48,dobry
13,1130,2,300,'\'(55.2-67.6]\'',K,101,48,dobry
16,906.07,0,200,'\'(42.8-55.2]\'',K,10,48,zly
12,1400,1,300,'\'(-inf-30.4]\'',M,32,22,dobry
11,2100,1,300,'\'(42.8-55.2]\'',M,48,48,dobry
13,1428.55,2,235.97,'\'(55.2-67.6]\'',K,135,48,dobry
16,655,2,500,'\'(42.8-55.2]\'',K,29,48,dobry
11,1800,2,300,'\'(30.4-42.8]\'',M,163,48,dobry
13,1474.55,1,400,'\'(55.2-67.6]\'',K,63,48,dobry
11,1617.68,1,200,'\'(42.8-55.2]\'',K,83,48,dobry
13,1768.93,2,500,'\'(55.2-67.6]\'',M,267,48,zly
11,1400,2,200,'\'(42.8-55.2]\'',M,12,48,dobry
11,5800,2,900,'\'(42.8-55.2]\'',K,52,48,dobry
12,1440,0,200,'\'(42.8-55.2]\'',M,11,8,zly
13,1189,2,265.58,'\'(55.2-67.6]\'',K,67,48,dobry
11,1172.2,2,400,'\'(55.2-67.6]\'',K,35,48,dobry
16,1340,2,500,'\'(55.2-67.6]\'',K,159,48,dobry
13,1672.59,1,200,'\'(55.2-67.6]\'',M,20,48,dobry
17,1031,1,350,'\'(42.8-55.2]\'',K,60,48,dobry
13,1000,2,500,'\'(55.2-67.6]\'',K,65,48,dobry
16,931.37,0,200,'\'(55.2-67.6]\'',K,209,48,zly
13,1817.24,1,400,'\'(55.2-67.6]\'',K,16,48,dobry
11,1510,2,900,'\'(55.2-67.6]\'',M,163,48,dobry
12,1000,0,1000,'\'(42.8-55.2]\'',K,71,48,zly
12,1033,0,500,'\'(30.4-42.8]\'',K,1,0,zly
12,1200,0,250,'\'(30.4-42.8]\'',K,9,6,zly
13,997,2,300,'\'(55.2-67.6]\'',K,77,48,dobry
13,1212,2,500,'\'(55.2-67.6]\'',K,51,48,dobry
11,1680,2,300,'\'(55.2-67.6]\'',K,383,48,dobry
13,720.19,0,200,'\'(55.2-67.6]\'',K,91,48,dobry
11,1638,0,1283.66,'\'(42.8-55.2]\'',K,312,48,dobry
11,1700,2,600,'\'(42.8-55.2]\'',K,87,48,dobry
13,1442.43,3,200,'\'(67.6-inf)\'',K,139,48,dobry
11,1400,2,600,'\'(55.2-67.6]\'',K,161,48,dobry
11,2800,2,600,'\'(42.8-55.2]\'',K,316,48,dobry
13,3541.9,0,369.53,'\'(67.6-inf)\'',K,125,48,dobry
11,2100,1,500,'\'(-inf-30.4]\'',K,20,48,dobry
11,1290,2,600,'\'(30.4-42.8]\'',K,17,48,dobry
12,1884.29,0,300,'\'(30.4-42.8]\'',M,23,5,dobry
13,730,1,200,'\'(67.6-inf)\'',K,558,48,dobry
11,1542.33,0,500,'\'(42.8-55.2]\'',K,276,48,zly
11,2284.23,0,400,'\'(42.8-55.2]\'',M,297,48,dobry
16,959.6,2,200,'\'(67.6-inf)\'',K,113,48,dobry
99,1393.85,1,200,'\'(-inf-30.4]\'',M,3,0,dobry
13,2010,1,717.26,'\'(55.2-67.6]\'',M,135,48,dobry
13,12220,1,200,'\'(55.2-67.6]\'',M,69,48,dobry
11,2700,0,1000,'\'(42.8-55.2]\'',M,143,48,zly
16,892,1,500,'\'(55.2-67.6]\'',K,198,48,dobry
11,1360,3,200,'\'(42.8-55.2]\'',M,117,48,dobry
12,1050,1,295.97,'\'(42.8-55.2]\'',K,36,4,dobry
12,1200,2,300,'\'(30.4-42.8]\'',K,14,7,dobry
13,1210,1,300,'\'(55.2-67.6]\'',K,136,48,dobry
11,3200,2,700,'\'(42.8-55.2]\'',M,187,48,dobry
16,1045.6,3,450,'\'(42.8-55.2]\'',K,10,48,dobry
13,1350,1,300,'\'(55.2-67.6]\'',K,109,48,dobry
11,1800,2,600,'\'(42.8-55.2]\'',M,124,48,zly
12,1200,0,300,'\'(30.4-42.8]\'',K,24,24,zly
11,2249.14,2,500,'\'(55.2-67.6]\'',K,239,48,dobry
13,785,2,200,'\'(67.6-inf)\'',K,62,48,dobry
13,1688.82,1,300,'\'(42.8-55.2]\'',M,97,48,dobry
11,1400,0,300,'\'(-inf-30.4]\'',M,22,48,dobry
11,4000,3,400,'\'(42.8-55.2]\'',M,8,48,dobry
12,1037.34,1,300,'\'(-inf-30.4]\'',M,23,5,dobry
99,750,2,300,'\'(-inf-30.4]\'',M,5,3,dobry
13,611,1,300,'\'(55.2-67.6]\'',K,137,48,dobry
13,2098,2,700,'\'(67.6-inf)\'',M,195,48,dobry
11,1585,0,500,'\'(-inf-30.4]\'',M,2,48,zly
13,1700,2,500,'\'(67.6-inf)\'',M,12,48,dobry
13,940,2,300,'\'(67.6-inf)\'',M,51,48,zly
11,1700,2,500,'\'(42.8-55.2]\'',K,303,48,dobry
12,1600,0,800,'\'(-inf-30.4]\'',K,113,48,zly
11,1842.86,1,400,'\'(55.2-67.6]\'',M,5,48,dobry
13,3900,3,300,'\'(42.8-55.2]\'',M,28,48,dobry
16,461.6,0,200,'\'(55.2-67.6]\'',M,378,48,zly
11,2470,3,426.61,'\'(42.8-55.2]\'',K,352,48,dobry
11,1320,2,500,'\'(42.8-55.2]\'',M,340,48,dobry
11,1239.05,0,400,'\'(30.4-42.8]\'',K,202,48,dobry
13,1261.6,2,400,'\'(55.2-67.6]\'',M,51,48,dobry
12,3000,0,700,'\'(30.4-42.8]\'',M,10,4,dobry
13,1240,3,300,'\'(55.2-67.6]\'',K,68,48,dobry
13,936,0,500,'\'(55.2-67.6]\'',K,29,48,dobry
13,1026,3,200,'\'(67.6-inf)\'',K,245,48,dobry
12,1952.35,2,400,'\'(42.8-55.2]\'',M,11,9,dobry
11,1400,3,300,'\'(42.8-55.2]\'',K,23,48,dobry
13,2612,1,1800,'\'(67.6-inf)\'',M,79,48,dobry
13,1170,1,400,'\'(55.2-67.6]\'',K,76,48,dobry
11,1077.49,2,300,'\'(42.8-55.2]\'',K,369,48,dobry
12,2187.11,0,600,'\'(-inf-30.4]\'',M,35,5,zly
11,2927,1,496.61,'\'(30.4-42.8]\'',K,199,48,dobry
12,2500,1,800,'\'(55.2-67.6]\'',M,3,0,dobry
17,985,3,200,'\'(-inf-30.4]\'',M,11,0,dobry
11,2258,3,1000,'\'(30.4-42.8]\'',M,73,48,dobry
13,1090.14,2,400,'\'(55.2-67.6]\'',K,73,48,dobry
11,1680,3,649.84,'\'(55.2-67.6]\'',K,68,48,dobry
11,1700,3,238.78,'\'(42.8-55.2]\'',K,203,48,dobry
13,1072,3,500,'\'(67.6-inf)\'',K,151,48,dobry
13,729.03,3,300,'\'(67.6-inf)\'',K,255,48,dobry
16,1124,0,500,'\'(67.6-inf)\'',K,135,48,zly
16,1389,2,200,'\'(55.2-67.6]\'',K,89,48,dobry
13,1291.18,3,381.29,'\'(67.6-inf)\'',K,77,48,dobry
16,763.38,2,200,'\'(55.2-67.6]\'',M,209,48,dobry
13,1370,2,900,'\'(55.2-67.6]\'',K,74,48,dobry
12,1700,0,900,'\'(-inf-30.4]\'',M,12,7,zly
11,2080,3,500,'\'(42.8-55.2]\'',M,316,48,dobry
98,3000,0,1500,'\'(55.2-67.6]\'',M,67,48,dobry
11,3000,3,300,'\'(55.2-67.6]\'',M,210,48,dobry
11,1373.34,0,200,'\'(-inf-30.4]\'',K,56,48,dobry
17,1200,3,200,'\'(-inf-30.4]\'',K,179,48,dobry
16,685,1,300,'\'(42.8-55.2]\'',K,39,48,dobry
13,850,2,400,'\'(55.2-67.6]\'',K,65,48,dobry
12,1700,3,400,'\'(42.8-55.2]\'',K,53,48,dobry
17,990,3,500,'\'(42.8-55.2]\'',K,85,48,dobry
11,2400,2,600,'\'(30.4-42.8]\'',K,111,48,dobry
12,1030,0,296.54,'\'(30.4-42.8]\'',M,23,20,zly
11,1900,2,903.23,'\'(30.4-42.8]\'',K,177,48,dobry
16,1600,1,500,'\'(55.2-67.6]\'',M,10,48,dobry
12,1447,3,500,'\'(-inf-30.4]\'',K,23,4,dobry
13,810,3,300,'\'(55.2-67.6]\'',K,31,48,dobry
11,2368.57,1,400,'\'(42.8-55.2]\'',K,408,48,dobry
11,1500,0,378,'\'(-inf-30.4]\'',K,22,48,dobry
12,1375.47,0,300,'\'(42.8-55.2]\'',M,8,3,dobry
11,4900,1,500,'\'(42.8-55.2]\'',K,9,48,dobry
13,1017,3,200,'\'(67.6-inf)\'',K,159,48,dobry
16,588,3,600,'\'(42.8-55.2]\'',M,420,48,dobry
12,1136.86,1,200,'\'(-inf-30.4]\'',M,23,14,zly
13,910,3,200,'\'(55.2-67.6]\'',K,67,48,dobry
98,600,0,200,'\'(-inf-30.4]\'',K,3,48,zly
12,1634,1,300,'\'(-inf-30.4]\'',K,10,0,dobry
11,2500,2,900,'\'(42.8-55.2]\'',M,202,48,dobry
16,1076.83,0,200,'\'(67.6-inf)\'',K,135,48,zly
13,1216,3,200,'\'(55.2-67.6]\'',K,139,48,dobry
13,1280,3,400,'\'(55.2-67.6]\'',K,15,48,dobry
11,1300,0,600,'\'(42.8-55.2]\'',K,66,48,dobry
11,2700,3,450,'\'(30.4-42.8]\'',M,13,48,dobry
13,1400,2,500,'\'(55.2-67.6]\'',K,52,48,dobry
11,2050,3,575.74,'\'(30.4-42.8]\'',M,116,48,dobry
16,1770,3,500,'\'(55.2-67.6]\'',M,87,48,dobry
12,1865,0,300,'\'(30.4-42.8]\'',K,21,3,dobry
11,1888.27,2,382.44,'\'(-inf-30.4]\'',M,75,48,dobry
12,1000,0,300,'\'(42.8-55.2]\'',M,62,48,dobry
11,1721.7,3,385.97,'\'(42.8-55.2]\'',K,118,48,dobry
13,1872,3,700,'\'(55.2-67.6]\'',K,33,48,dobry
11,2709.34,3,330.68,'\'(30.4-42.8]\'',K,179,48,dobry
13,1015,3,400,'\'(55.2-67.6]\'',K,107,48,dobry
12,984.34,2,200,'\'(42.8-55.2]\'',K,20,4,dobry
13,1239.98,0,300,'\'(67.6-inf)\'',K,253,48,dobry
13,1200.29,0,400,'\'(55.2-67.6]\'',K,20,48,dobry
11,1183,0,500,'\'(30.4-42.8]\'',K,15,48,zly
13,2113.24,2,200,'\'(55.2-67.6]\'',K,59,48,dobry
11,2700,3,600,'\'(-inf-30.4]\'',M,62,48,dobry
13,1454.91,2,400,'\'(55.2-67.6]\'',K,40,48,dobry
13,907,1,200,'\'(67.6-inf)\'',K,232,48,dobry
13,1457,2,300,'\'(67.6-inf)\'',M,77,48,zly
11,1300,0,400,'\'(42.8-55.2]\'',K,32,48,dobry
12,1963.88,2,400,'\'(42.8-55.2]\'',M,5,1,dobry
11,1800,3,500,'\'(42.8-55.2]\'',K,51,48,dobry
12,1356,0,500,'\'(42.8-55.2]\'',K,88,48,zly
11,1906.42,1,281.29,'\'(55.2-67.6]\'',K,210,48,dobry
11,1300,0,300,'\'(-inf-30.4]\'',K,21,48,zly
13,1900,3,500,'\'(55.2-67.6]\'',M,148,48,dobry
13,1050,3,600,'\'(55.2-67.6]\'',K,137,48,dobry
98,4000,3,498.26,'\'(30.4-42.8]\'',K,16,48,dobry
13,1820,3,900,'\'(55.2-67.6]\'',K,67,48,dobry
99,645.31,0,300,'\'(42.8-55.2]\'',K,11,2,zly
13,1399.99,1,300,'\'(55.2-67.6]\'',K,13,48,dobry
13,1085,3,400,'\'(55.2-67.6]\'',K,164,48,dobry
11,1730.13,1,400,'\'(55.2-67.6]\'',K,191,48,dobry
13,1650,0,300,'\'(55.2-67.6]\'',K,113,48,dobry
12,1457,0,300,'\'(30.4-42.8]\'',M,7,2,zly
11,1500,2,200,'\'(55.2-67.6]\'',M,393,48,dobry
11,1660,0,300,'\'(55.2-67.6]\'',M,48,48,dobry
13,722.05,2,200,'\'(67.6-inf)\'',K,195,48,dobry
11,2050,1,799.85,'\'(30.4-42.8]\'',K,27,48,dobry
12,988,0,200,'\'(42.8-55.2]\'',M,12,4,zly
12,1100,0,200,'\'(-inf-30.4]\'',M,59,48,dobry
11,1443,3,600,'\'(42.8-55.2]\'',K,31,48,dobry
17,728,3,200,'\'(-inf-30.4]\'',M,130,48,dobry
11,2100,0,300,'\'(42.8-55.2]\'',M,36,48,dobry
13,1503,2,400,'\'(55.2-67.6]\'',M,163,48,dobry
13,1362,3,500,'\'(55.2-67.6]\'',K,54,48,dobry
13,1244.77,3,300,'\'(55.2-67.6]\'',K,37,48,dobry
11,932.34,3,200,'\'(42.8-55.2]\'',K,393,48,dobry
11,901,2,300,'\'(-inf-30.4]\'',K,38,48,dobry
17,1100,1,200,'\'(55.2-67.6]\'',K,33,8,dobry
13,3040,3,667.26,'\'(55.2-67.6]\'',M,199,48,dobry
11,2700,3,500,'\'(30.4-42.8]\'',K,119,48,dobry
11,3100,3,500,'\'(30.4-42.8]\'',K,119,48,dobry
11,3217,1,299.97,'\'(42.8-55.2]\'',M,268,48,zly
13,1125,1,300,'\'(55.2-67.6]\'',K,123,48,dobry
13,2110,3,300,'\'(55.2-67.6]\'',M,99,48,dobry
13,865,3,300,'\'(67.6-inf)\'',K,126,48,dobry
12,1300,2,300,'\'(-inf-30.4]\'',K,12,5,dobry
16,1362,3,400,'\'(42.8-55.2]\'',K,27,48,dobry
12,1500,2,300,'\'(-inf-30.4]\'',K,2,0,dobry
13,1668,3,392.14,'\'(55.2-67.6]\'',K,89,48,dobry
11,983.97,1,200,'\'(55.2-67.6]\'',K,76,48,dobry
12,980,3,200,'\'(30.4-42.8]\'',K,10,2,dobry
11,1700,2,500,'\'(30.4-42.8]\'',K,195,48,dobry
13,2015.55,1,600,'\'(67.6-inf)\'',M,109,48,zly
13,1217,0,200,'\'(55.2-67.6]\'',M,49,48,dobry
13,819,1,200,'\'(55.2-67.6]\'',M,55,48,dobry
16,650.77,0,200,'\'(55.2-67.6]\'',M,46,48,zly
12,2673.17,3,600,'\'(42.8-55.2]\'',M,162,48,dobry
13,1107,1,231.29,'\'(55.2-67.6]\'',K,13,48,dobry
13,2291,0,1000,'\'(67.6-inf)\'',K,69,48,dobry
13,1400,3,600,'\'(55.2-67.6]\'',K,244,48,dobry
16,634.64,2,300,'\'(55.2-67.6]\'',K,134,48,dobry
98,911,3,300,'\'(42.8-55.2]\'',K,96,48,dobry
11,992.84,3,300,'\'(42.8-55.2]\'',K,119,48,dobry
11,1000,3,300,'\'(-inf-30.4]\'',M,55,48,dobry
13,2000,3,450,'\'(67.6-inf)\'',M,43,48,dobry
13,1180,0,300,'\'(67.6-inf)\'',M,138,48,dobry
13,1175,1,400,'\'(55.2-67.6]\'',K,113,48,zly
11,2100,2,500,'\'(55.2-67.6]\'',M,185,48,dobry
